samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc
subsample_7.csv,ft_transformer,10,0.7263,0.7151,0.7832,0.7221,0.703,0.7811,0.7202,0.694,0.78
subsample_10.csv,ft_transformer,10,0.742,0.7164,0.7944,0.7321,0.7264,0.7856,0.7321,0.7049,0.7896
subsample_8.csv,ft_transformer,10,0.7275,0.7001,0.7784,0.7252,0.6953,0.781,0.7194,0.6853,0.7765
subsample_3.csv,ft_transformer,10,0.7382,0.7105,0.7578,0.7309,0.7033,0.7835,0.7213,0.687,0.7727
subsample_1.csv,ft_transformer,10,0.7183,0.6905,0.7583,0.7355,0.7181,0.7881,0.7213,0.6992,0.7795
subsample_2.csv,ft_transformer,10,0.742,0.7166,0.7808,0.7317,0.7021,0.7847,0.7417,0.7161,0.7878
subsample_6.csv,ft_transformer,10,0.7225,0.6973,0.7812,0.7359,0.7116,0.7941,0.7118,0.6982,0.7767
subsample_5.csv,ft_transformer,10,0.7378,0.7128,0.7831,0.7175,0.6902,0.7756,0.7225,0.6917,0.7724
subsample_4.csv,ft_transformer,10,0.7252,0.6876,0.7803,0.7187,0.6861,0.7819,0.7229,0.6819,0.7782
subsample_9.csv,ft_transformer,10,0.7302,0.7052,0.7881,0.747,0.7284,0.7937,0.7313,0.7161,0.7847
subsample_7.csv,ft_transformer,20,0.7382,0.7114,0.7961,0.7405,0.7152,0.7852,0.7367,0.7098,0.7841
subsample_10.csv,ft_transformer,20,0.7436,0.7186,0.7937,0.739,0.713,0.7979,0.7256,0.6906,0.7883
subsample_8.csv,ft_transformer,20,0.7267,0.6939,0.7803,0.7248,0.7232,0.7802,0.7378,0.7257,0.7916
subsample_3.csv,ft_transformer,20,0.7374,0.7081,0.7927,0.7417,0.7163,0.7941,0.7417,0.7199,0.7916
subsample_1.csv,ft_transformer,20,0.7229,0.6844,0.7804,0.7363,0.7291,0.7894,0.7355,0.7242,0.7924
subsample_2.csv,ft_transformer,20,0.7409,0.7133,0.7913,0.7413,0.7122,0.7884,0.7332,0.7288,0.781
subsample_6.csv,ft_transformer,20,0.7371,0.7223,0.7932,0.7344,0.7089,0.7904,0.7336,0.7273,0.7927
subsample_5.csv,ft_transformer,20,0.7386,0.7142,0.7815,0.7282,0.7131,0.7838,0.7363,0.7095,0.7838
subsample_4.csv,ft_transformer,20,0.7409,0.7263,0.7811,0.7367,0.7192,0.791,0.7371,0.711,0.79
subsample_9.csv,ft_transformer,20,0.7432,0.719,0.7935,0.7363,0.7067,0.7874,0.7486,0.738,0.7936
subsample_7.csv,ft_transformer,30,0.7424,0.7223,0.786,0.7463,0.7249,0.7947,0.7443,0.7224,0.7926
subsample_10.csv,ft_transformer,30,0.7447,0.7288,0.793,0.7424,0.7169,0.7957,0.7447,0.727,0.7946
subsample_8.csv,ft_transformer,30,0.7382,0.7139,0.7878,0.7397,0.7127,0.7881,0.7394,0.7145,0.7864
