samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
subsample_7.csv,ft_transformer,10,0.7404,0.7154,0.8048,0.7445,0.7207,0.8041,0.7445,0.7207,0.8027,0.7441,0.7586,0.7799
subsample_10.csv,ft_transformer,10,0.7594,0.7544,0.8103,0.7557,0.7522,0.8101,0.7293,0.7181,0.7944,0.7268,0.7234,0.787
subsample_8.csv,ft_transformer,10,0.7437,0.7265,0.8019,0.7429,0.7285,0.8015,0.7342,0.7238,0.7825,0.7285,0.7557,0.7878
subsample_3.csv,ft_transformer,10,0.7499,0.7389,0.8035,0.766,0.7617,0.8089,0.7417,0.719,0.8004,0.7495,0.7479,0.7912
subsample_1.csv,ft_transformer,10,0.7594,0.755,0.8063,0.7421,0.7257,0.8034,0.7561,0.7428,0.8015,0.754,0.7613,0.8015
subsample_2.csv,ft_transformer,10,0.7454,0.7343,0.8022,0.7326,0.7256,0.7915,0.733,0.7202,0.7917,0.7173,0.7105,0.7742
subsample_6.csv,ft_transformer,10,0.745,0.7208,0.7933,0.7639,0.7619,0.8112,0.7412,0.7514,0.7823,0.7289,0.72,0.7812
subsample_5.csv,ft_transformer,10,0.7507,0.7389,0.7857,0.7458,0.7454,0.8002,0.7421,0.7215,0.8,0.7248,0.7302,0.7842
subsample_4.csv,ft_transformer,10,0.7507,0.7336,0.797,0.7458,0.7339,0.8031,0.7433,0.7357,0.8019,0.7227,0.7005,0.7828
subsample_9.csv,ft_transformer,10,0.7651,0.7537,0.8068,0.7647,0.7586,0.8064,0.7569,0.7433,0.8065,0.726,0.7212,0.7837
subsample_7.csv,ft_transformer,20,0.7701,0.7578,0.8138,0.7721,0.7603,0.8065,0.7705,0.7584,0.8161,0.7594,0.7496,0.8039
subsample_10.csv,ft_transformer,20,0.7474,0.7401,0.8088,0.7606,0.7484,0.8095,0.7524,0.7395,0.8109,0.7528,0.7527,0.8013
subsample_8.csv,ft_transformer,20,0.7573,0.7336,0.8117,0.7585,0.7491,0.8062,0.761,0.7456,0.8019,0.74,0.7091,0.8119
subsample_3.csv,ft_transformer,20,0.7647,0.7538,0.8107,0.7672,0.7666,0.8144,0.7594,0.7552,0.8123,0.7515,0.7435,0.7984
subsample_1.csv,ft_transformer,20,0.7627,0.7557,0.8066,0.7614,0.7597,0.8087,0.7585,0.7441,0.8067,0.7585,0.7513,0.8144
subsample_2.csv,ft_transformer,20,0.7565,0.7545,0.8001,0.7499,0.7367,0.7994,0.754,0.7454,0.7932,0.7363,0.7355,0.7885
subsample_6.csv,ft_transformer,20,0.7594,0.7519,0.8033,0.7647,0.7531,0.8033,0.7614,0.7497,0.804,0.752,0.75,0.7956
subsample_5.csv,ft_transformer,20,0.7577,0.7483,0.8008,0.7557,0.7447,0.8045,0.761,0.7563,0.79,0.7495,0.7439,0.8025
