samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
subsample_7.csv,ft_transformer,10,0.7348,0.7312,0.7908,0.7211,0.7309,0.7887,0.7258,0.7102,0.7645,0.7271,0.7344,0.7835
subsample_10.csv,ft_transformer,10,0.7301,0.7225,0.7924,0.7318,0.7223,0.7961,0.7377,0.7146,0.7968,0.7352,0.7454,0.7864
subsample_8.csv,ft_transformer,10,0.742,0.7341,0.8031,0.751,0.7379,0.811,0.7292,0.7164,0.7988,0.7305,0.7384,0.7827
subsample_3.csv,ft_transformer,10,0.722,0.7288,0.779,0.7249,0.7077,0.7875,0.722,0.7102,0.7907,0.7203,0.7344,0.7803
subsample_1.csv,ft_transformer,10,0.7352,0.7121,0.7806,0.7373,0.7167,0.7925,0.7262,0.7282,0.7793,0.7215,0.7314,0.7751
subsample_2.csv,ft_transformer,10,0.7168,0.6894,0.7495,0.733,0.7345,0.7805,0.7454,0.7378,0.7761,0.7156,0.7184,0.7712
subsample_6.csv,ft_transformer,10,0.7134,0.7172,0.7842,0.7382,0.7349,0.7824,0.7151,0.7091,0.7801,0.719,0.7365,0.7661
subsample_5.csv,ft_transformer,10,0.7441,0.7371,0.7963,0.7262,0.7233,0.7914,0.7249,0.7231,0.7916,0.7134,0.7116,0.7695
subsample_4.csv,ft_transformer,10,0.733,0.716,0.7938,0.742,0.7389,0.7969,0.7501,0.7398,0.7988,0.7168,0.7276,0.7671
subsample_9.csv,ft_transformer,10,0.7633,0.7573,0.8048,0.7633,0.7515,0.8071,0.7382,0.7171,0.8014,0.733,0.7502,0.7925
subsample_7.csv,ft_transformer,20,0.7471,0.7434,0.7957,0.7399,0.7435,0.7986,0.7535,0.7504,0.8063,0.7241,0.7396,0.7919
subsample_10.csv,ft_transformer,20,0.7535,0.7445,0.803,0.7548,0.7479,0.7952,0.7522,0.7486,0.8088,0.7493,0.7448,0.8017
subsample_8.csv,ft_transformer,20,0.7599,0.7494,0.8122,0.7552,0.7412,0.8005,0.7603,0.7493,0.8046,0.7446,0.745,0.8082
subsample_3.csv,ft_transformer,20,0.7335,0.7429,0.7935,0.7467,0.744,0.7949,0.7416,0.7423,0.7959,0.7356,0.7366,0.7944
subsample_1.csv,ft_transformer,20,0.7493,0.7421,0.7963,0.7539,0.7457,0.8033,0.7539,0.7462,0.7928,0.7475,0.7426,0.7953
subsample_2.csv,ft_transformer,20,0.7454,0.7371,0.787,0.7437,0.7439,0.7936,0.733,0.7313,0.7876,0.7275,0.7126,0.7811
subsample_6.csv,ft_transformer,20,0.7377,0.7318,0.7929,0.7254,0.7241,0.79,0.7262,0.7309,0.7874,0.7394,0.7372,0.7856
subsample_5.csv,ft_transformer,20,0.739,0.7394,0.7966,0.7437,0.7381,0.795,0.7207,0.7261,0.7814,0.7399,0.7315,0.7954
subsample_4.csv,ft_transformer,20,0.7505,0.7417,0.8029,0.7433,0.7271,0.7986,0.7522,0.7457,0.8055,0.7505,0.7438,0.7946
subsample_9.csv,ft_transformer,20,0.7642,0.7582,0.8126,0.7599,0.754,0.812,0.7505,0.7401,0.8037,0.7467,0.7253,0.7913
subsample_7.csv,ft_transformer,30,0.7518,0.7429,0.7883,0.7429,0.742,0.7937,0.7484,0.7387,0.794,0.7407,0.737,0.798
subsample_10.csv,ft_transformer,30,0.7437,0.7446,0.8006,0.7539,0.7462,0.8032,0.7518,0.7483,0.8008,0.7518,0.745,0.8048
subsample_8.csv,ft_transformer,30,0.7629,0.7522,0.8128,0.7599,0.7494,0.8177,0.7625,0.756,0.8087,0.7433,0.7394,0.7998
subsample_3.csv,ft_transformer,30,0.7424,0.7401,0.7993,0.7275,0.7067,0.7939,0.7377,0.7419,0.8026,0.7211,0.7337,0.7823
subsample_1.csv,ft_transformer,30,0.7505,0.7492,0.8017,0.7531,0.7405,0.7892,0.7518,0.7443,0.8025,0.7437,0.7323,0.8003
subsample_2.csv,ft_transformer,30,0.7467,0.7369,0.7916,0.7467,0.7408,0.7862,0.7446,0.7385,0.7894,0.742,0.7393,0.789
subsample_6.csv,ft_transformer,30,0.7352,0.7145,0.7673,0.7441,0.7352,0.7905,0.736,0.7367,0.7867,0.7288,0.7181,0.7884
subsample_5.csv,ft_transformer,30,0.739,0.7376,0.7923,0.7412,0.7367,0.7914,0.7424,0.7346,0.7838,0.733,0.7215,0.7887
subsample_4.csv,ft_transformer,30,0.7527,0.7461,0.8094,0.7518,0.742,0.7995,0.7527,0.748,0.8108,0.7531,0.7423,0.8055
subsample_9.csv,ft_transformer,30,0.7616,0.7494,0.8063,0.7655,0.7558,0.7934,0.7625,0.7494,0.814,0.7522,0.7367,0.8023
subsample_7.csv,ft_transformer,50,0.7318,0.7009,0.7828,0.7531,0.7482,0.7941,0.7501,0.7414,0.8009,0.7412,0.7294,0.7934
subsample_10.csv,ft_transformer,50,0.7535,0.7485,0.8052,0.7493,0.7511,0.8028,0.7548,0.7537,0.8043,0.745,0.7306,0.8028
subsample_8.csv,ft_transformer,50,0.7586,0.7533,0.8077,0.7548,0.7411,0.8076,0.7586,0.7513,0.8148,0.7539,0.7573,0.8032
subsample_3.csv,ft_transformer,50,0.7429,0.7418,0.7971,0.7441,0.7387,0.7769,0.7394,0.7381,0.7918,0.7377,0.7415,0.7879
subsample_1.csv,ft_transformer,50,0.7518,0.742,0.8012,0.7527,0.7494,0.798,0.7539,0.7441,0.8039,0.7454,0.7374,0.7951
subsample_2.csv,ft_transformer,50,0.7463,0.7432,0.7921,0.7437,0.737,0.7913,0.7437,0.737,0.7853,0.7343,0.7187,0.7807
