length_text,samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc,mi_params,mrmr_params,mi_mrmr_params,pca_params
17,subsample_8.csv,lr,10,0.728137744,0.70703125,0.72810525,0.737199819,0.714003945,0.737163221,0.727231536,0.705767351,0.727198632,0.709667674,0.698273155,0.709667674,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}"
17,subsample_9.csv,lr,10,0.721341187,0.701020904,0.72131054,0.72768464,0.706399609,0.727651941,0.722700498,0.702912621,0.722670467,0.710574018,0.697982346,0.710574018,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 1, 'max_iter': 1000}"
17,subsample_7.csv,lr,10,0.727231536,0.705767351,0.727198632,0.723153602,0.702676399,0.723122545,0.723606706,0.703307393,0.723575854,0.713293051,0.700725323,0.713293051,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
17,subsample_6.csv,lr,10,0.731762574,0.707509881,0.731725153,0.737199819,0.715407262,0.737165274,0.72768464,0.706972209,0.727652762,0.71570997,0.701743265,0.71570997,"{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1, 'max_iter': 1000}"
17,subsample_10.csv,lr,10,0.7349343,0.713375796,0.734900371,0.73855913,0.717848411,0.738526023,0.729043951,0.710271318,0.729014742,0.721752266,0.708636507,0.721752266,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1, 'max_iter': 1000}"
17,subsample_4.csv,lr,10,0.713638423,0.696737044,0.713613317,0.715450838,0.69865643,0.715425733,0.713638423,0.697607656,0.713614549,0.711480363,0.698833176,0.711480363,"{'C': 10, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 1, 'max_iter': 1000}"
17,subsample_5.csv,lr,10,0.719981876,0.700581395,0.719952665,0.719981876,0.701449275,0.719953897,0.717263253,0.698259188,0.717234863,0.714803625,0.702770781,0.714803625,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
17,subsample_1.csv,lr,10,0.732215677,0.710436061,0.732181747,0.7349343,0.710539337,0.734896264,0.72405981,0.704512373,0.724029984,0.719033233,0.704198473,0.719033233,"{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
17,subsample_2.csv,lr,10,0.744902583,0.723069356,0.744867013,0.744902583,0.721425037,0.744864549,0.741730856,0.720039293,0.741695902,0.721450151,0.710245129,0.721450151,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}"
17,subsample_3.csv,lr,10,0.729043951,0.707149853,0.729010226,0.733574989,0.714285714,0.733544549,0.728137744,0.70703125,0.72810525,0.712084592,0.700408677,0.712084592,"{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
17,subsample_8.csv,rfc,10,0.751699139,0.748393021,0.75169334,0.757136384,0.757026292,0.757136334,0.752605347,0.750457038,0.7526016,0.729909366,0.737829912,0.729909366,"{'max_depth': 10, 'n_estimators': 10}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 100}"
17,subsample_9.csv,rfc,10,0.770276393,0.767963387,0.770272035,0.768010874,0.771428571,0.768017807,0.756230177,0.754562044,0.756227252,0.73021148,0.738965215,0.73021148,"{'max_depth': 5, 'n_estimators': 10}","{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 50}"
