samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc
subsample_9.csv,ft_transformer,20,0.7644,0.7617,0.7949,0.7544,0.7518,0.7931,0.7463,0.7328,0.7899
subsample_7.csv,ft_transformer,30,0.7336,0.7143,0.7906,0.7499,0.7577,0.7924,0.7544,0.7608,0.792
subsample_10.csv,ft_transformer,50,0.7648,0.7648,0.805,0.7608,0.7551,0.7986,0.7599,0.7555,0.8074
subsample_8.csv,ft_transformer,75,0.7553,0.7615,0.7899,0.7589,0.7573,0.7997,0.749,0.7577,0.7985
subsample_3.csv,ft_transformer,90,0.7689,0.769,0.8113,0.7667,0.7617,0.805,0.7599,0.771,0.8081
subsample_1.csv,ft_transformer,10,0.7662,0.7674,0.8094,0.7657,0.7683,0.8078,0.7549,0.7405,0.803
subsample_2.csv,ft_transformer,20,0.7662,0.7568,0.815,0.7748,0.7748,0.8153,0.7789,0.779,0.8163
subsample_6.csv,ft_transformer,30,0.7635,0.7665,0.8018,0.7617,0.7549,0.8078,0.7635,0.7707,0.8085
subsample_5.csv,ft_transformer,50,0.7503,0.753,0.8018,0.7567,0.7589,0.809,0.7608,0.7576,0.8066
subsample_4.csv,ft_transformer,75,0.7503,0.7517,0.7967,0.7549,0.7562,0.7936,0.7422,0.7374,0.7912
subsample_9.csv,ft_transformer,90,0.7608,0.763,0.7901,0.7603,0.7594,0.792,0.7603,0.7581,0.7988
