length_text,samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc,mi_params,mrmr_params,mi_mrmr_params,pca_params
8,subsample_8.csv,lr,10,0.7060384870603849,0.6602760736196319,0.7060384870603847,0.7030524220305242,0.6469428007889546,0.7030524220305241,0.7047113470471135,0.6553059643687065,0.7047113470471135,0.7042035398230089,0.674933138828106,0.7042035398230089,"{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 1, 'max_iter': 1000}"
8,subsample_9.csv,lr,10,0.7073656270736562,0.6533018867924528,0.7073656270736562,0.7116788321167883,0.6514239871640594,0.7116788321167883,0.7053749170537492,0.652037617554859,0.7053749170537491,0.7026548672566372,0.6752054132431126,0.7026548672566372,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
8,subsample_7.csv,lr,10,0.694757796947578,0.6520423600605144,0.694757796947578,0.705706702057067,0.6533802266510356,0.7057067020570669,0.6960849369608494,0.6546003016591251,0.6960849369608494,0.7017699115044248,0.6767386091127098,0.7017699115044247,"{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
8,subsample_6.csv,lr,10,0.7093563370935634,0.6630769230769231,0.7093563370935633,0.7070338420703384,0.6535896429972539,0.7070338420703385,0.7047113470471135,0.6600458365164248,0.7047113470471135,0.7042035398230089,0.6777536755844783,0.7042035398230089,"{'C': 10, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
8,subsample_10.csv,lr,10,0.6984074319840743,0.6534502478078537,0.6984074319840744,0.7010617120106171,0.6533282031550596,0.7010617120106172,0.6970802919708029,0.6492508643872454,0.6970802919708029,0.7002212389380531,0.6749820100743584,0.7002212389380531,"{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
8,subsample_4.csv,lr,10,0.7130059721300597,0.6656358716660223,0.7130059721300597,0.7130059721300597,0.6593146908231587,0.7130059721300598,0.7113470471134705,0.6577498033044847,0.7113470471134704,0.7143805309734513,0.6811558409483822,0.7143805309734513,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
8,subsample_5.csv,lr,10,0.7017252820172528,0.6577845451084887,0.7017252820172528,0.7070338420703384,0.6541323932628281,0.7070338420703384,0.6877903118779031,0.6476974915761886,0.6877903118779032,0.7017699115044248,0.6772030651340997,0.7017699115044248,"{'C': 10, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}"
8,subsample_1.csv,lr,10,0.716987392169874,0.6689949553744663,0.716987392169874,0.7136695421366954,0.6543852623147778,0.7136695421366953,0.7126741871267419,0.6603921568627451,0.7126741871267419,0.7108407079646017,0.6798922361009062,0.7108407079646017,"{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1, 'max_iter': 1000}"
8,subsample_2.csv,lr,10,0.7007299270072993,0.6580742987111448,0.7007299270072993,0.705706702057067,0.6555339805825243,0.7057067020570671,0.69907100199071,0.6570888468809073,0.69907100199071,0.7077433628318585,0.6797575757575758,0.7077433628318586,"{'C': 10, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}","{'C': 1, 'max_iter': 1000}","{'C': 1, 'max_iter': 1000}"
8,subsample_3.csv,lr,10,0.7023888520238886,0.6580251620282119,0.7023888520238885,0.694757796947578,0.648854961832061,0.694757796947578,0.6921035169210352,0.6508653122648609,0.6921035169210352,0.6960176991150443,0.6725452812202097,0.6960176991150442,"{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
