samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc
subsample_7.csv,ft_transformer,10,0.6951,0.6544,0.75,0.713,0.6511,0.7476,0.6755,0.6238,0.7389
subsample_10.csv,ft_transformer,10,0.6858,0.6922,0.7516,0.7067,0.6447,0.7528,0.7074,0.6446,0.7494
subsample_8.csv,ft_transformer,10,0.6951,0.6311,0.7492,0.7067,0.6461,0.7589,0.7001,0.6732,0.7595
subsample_3.csv,ft_transformer,10,0.7027,0.6361,0.7499,0.705,0.6434,0.7375,0.7027,0.653,0.7408
subsample_1.csv,ft_transformer,10,0.7107,0.6562,0.7485,0.718,0.6536,0.7648,0.6715,0.6853,0.743
subsample_2.csv,ft_transformer,10,0.7047,0.6343,0.7333,0.7153,0.6524,0.7609,0.6878,0.6582,0.744
subsample_6.csv,ft_transformer,10,0.6987,0.6391,0.7439,0.6967,0.6659,0.7481,0.6828,0.6529,0.7477
subsample_5.csv,ft_transformer,10,0.7137,0.6516,0.7535,0.712,0.6489,0.7436,0.6938,0.6268,0.7378
subsample_4.csv,ft_transformer,10,0.6921,0.6074,0.7682,0.7173,0.6531,0.7665,0.7014,0.6281,0.7549
subsample_9.csv,ft_transformer,10,0.719,0.6602,0.755,0.714,0.6504,0.7616,0.6997,0.6268,0.742
subsample_7.csv,ft_transformer,20,0.6788,0.6204,0.7264,0.7133,0.6522,0.7568,0.712,0.6492,0.7522
subsample_10.csv,ft_transformer,20,0.7097,0.6784,0.7647,0.707,0.6458,0.7572,0.7017,0.6804,0.7574
subsample_8.csv,ft_transformer,20,0.7067,0.6458,0.7553,0.706,0.645,0.7531,0.7067,0.6461,0.7615
subsample_3.csv,ft_transformer,20,0.6954,0.6843,0.7504,0.7047,0.6426,0.7421,0.7031,0.645,0.7511
subsample_1.csv,ft_transformer,20,0.718,0.6616,0.765,0.7183,0.6589,0.7642,0.7186,0.6553,0.7616
subsample_2.csv,ft_transformer,20,0.7021,0.6367,0.7589,0.709,0.6401,0.7596,0.7157,0.6526,0.7537
subsample_6.csv,ft_transformer,20,0.708,0.6466,0.7482,0.7047,0.6815,0.7564,0.708,0.6472,0.7581
subsample_5.csv,ft_transformer,20,0.712,0.6486,0.7537,0.7104,0.6515,0.7484,0.7107,0.6464,0.7536
subsample_4.csv,ft_transformer,20,0.7107,0.7032,0.7747,0.7163,0.6517,0.7667,0.718,0.6536,0.775
subsample_9.csv,ft_transformer,20,0.6891,0.6395,0.7514,0.7113,0.6466,0.7545,0.7163,0.6554,0.7563
subsample_7.csv,ft_transformer,30,0.712,0.6483,0.7593,0.7133,0.6566,0.7522,0.714,0.656,0.7566
subsample_10.csv,ft_transformer,30,0.7077,0.6544,0.755,0.7094,0.6535,0.756,0.7077,0.6494,0.7622
subsample_8.csv,ft_transformer,30,0.7074,0.6626,0.7611,0.7017,0.6394,0.7546,0.7057,0.6445,0.7596
subsample_3.csv,ft_transformer,30,0.7064,0.6461,0.7556,0.7024,0.639,0.7428,0.6997,0.6349,0.7483
subsample_1.csv,ft_transformer,30,0.7183,0.6589,0.7641,0.7163,0.6523,0.7742,0.7193,0.6561,0.7708
subsample_2.csv,ft_transformer,30,0.7107,0.6481,0.7629,0.7004,0.6501,0.7464,0.7147,0.6513,0.7702
subsample_6.csv,ft_transformer,30,0.7047,0.6414,0.7513,0.7011,0.6568,0.7527,0.708,0.6466,0.7563
subsample_5.csv,ft_transformer,30,0.707,0.6383,0.7561,0.6941,0.6883,0.756,0.7133,0.6511,0.7577
subsample_4.csv,ft_transformer,30,0.7196,0.681,0.7757,0.7177,0.6562,0.767,0.7213,0.6932,0.7694
subsample_9.csv,ft_transformer,30,0.7157,0.656,0.7593,0.7117,0.6466,0.7613,0.715,0.6723,0.7599
subsample_7.csv,ft_transformer,50,0.707,0.6356,0.7534,0.6961,0.6905,0.7576,0.7123,0.6593,0.7567
subsample_10.csv,ft_transformer,50,0.706,0.6473,0.7539,0.7074,0.6621,0.7589,0.7027,0.6372,0.7468
subsample_8.csv,ft_transformer,50,0.705,0.6577,0.7611,0.6981,0.6298,0.7497,0.7054,0.6428,0.7581
subsample_3.csv,ft_transformer,50,0.7047,0.6449,0.7563,0.7054,0.6547,0.7545,0.6987,0.6905,0.7503
subsample_1.csv,ft_transformer,50,0.719,0.6605,0.7729,0.7117,0.6799,0.7654,0.7133,0.658,0.768
subsample_2.csv,ft_transformer,50,0.707,0.6618,0.7649,0.7137,0.6702,0.755,0.7147,0.656,0.7508
subsample_6.csv,ft_transformer,50,0.7074,0.6519,0.7517,0.7067,0.6447,0.7414,0.7074,0.6728,0.7543
subsample_5.csv,ft_transformer,50,0.6994,0.6693,0.742,0.7107,0.6478,0.7615,0.7123,0.6544,0.7579
subsample_4.csv,ft_transformer,50,0.711,0.6396,0.7683,0.717,0.6782,0.7653,0.7177,0.6553,0.7659
subsample_9.csv,ft_transformer,50,0.7147,0.6515,0.7721,0.7153,0.6532,0.758,0.718,0.6775,0.7621
subsample_7.csv,ft_transformer,75,0.7127,0.6582,0.7547,0.7097,0.6487,0.7469,0.711,0.6564,0.7565
subsample_10.csv,ft_transformer,75,0.7094,0.6583,0.7586,0.6967,0.6784,0.7545,0.707,0.68,0.7592
subsample_8.csv,ft_transformer,75,0.7077,0.6798,0.7589,0.7094,0.6546,0.7525,0.7034,0.6464,0.7613
subsample_3.csv,ft_transformer,75,0.7027,0.6809,0.7593,0.7024,0.6467,0.7458,0.6987,0.6285,0.7492
subsample_1.csv,ft_transformer,75,0.7177,0.6545,0.7739,0.7203,0.6632,0.7695,0.7163,0.6506,0.7676
subsample_2.csv,ft_transformer,75,0.716,0.6587,0.7653,0.7034,0.7012,0.7644,0.6971,0.6757,0.7568
subsample_6.csv,ft_transformer,75,0.7067,0.661,0.7624,0.7054,0.6451,0.7508,0.7064,0.6542,0.7517
subsample_5.csv,ft_transformer,75,0.6981,0.7009,0.7603,0.709,0.6538,0.7534,0.7064,0.6509,0.7506
subsample_4.csv,ft_transformer,75,0.7143,0.6685,0.7575,0.7177,0.6531,0.765,0.7163,0.6514,0.7552
subsample_9.csv,ft_transformer,75,0.7074,0.6702,0.7699,0.714,0.6755,0.7592,0.7203,0.6995,0.7577
subsample_7.csv,ft_transformer,90,0.7067,0.6907,0.7621,0.7007,0.676,0.7542,0.71,0.6433,0.7495
subsample_10.csv,ft_transformer,90,0.7117,0.6615,0.7294,0.6977,0.6996,0.7553,0.7017,0.679,0.7571
subsample_8.csv,ft_transformer,90,0.7084,0.6846,0.766,0.7064,0.6461,0.7635,0.7047,0.6437,0.7615
subsample_3.csv,ft_transformer,90,0.6974,0.6766,0.752,0.7011,0.6395,0.7517,0.7007,0.638,0.7559
subsample_1.csv,ft_transformer,90,0.7226,0.6629,0.7705,0.7147,0.6458,0.766,0.716,0.6495,0.7718
subsample_2.csv,ft_transformer,90,0.7137,0.6612,0.7643,0.714,0.6513,0.754,0.7113,0.6945,0.7557
subsample_6.csv,ft_transformer,90,0.6981,0.675,0.7588,0.7057,0.6785,0.7432,0.7087,0.6508,0.7568
subsample_5.csv,ft_transformer,90,0.71,0.6453,0.7585,0.712,0.65,0.7528,0.71,0.647,0.7603
subsample_4.csv,ft_transformer,90,0.72,0.6594,0.7759,0.708,0.6364,0.7621,0.7213,0.6701,0.7675
subsample_9.csv,ft_transformer,90,0.714,0.659,0.7699,0.7104,0.6727,0.7599,0.7137,0.6516,0.7688
