length_text,samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc,mi_params,mrmr_params,mi_mrmr_params,pca_params
16,subsample_8.csv,lr,10,0.749561404,0.736987563,0.749561404,0.756140351,0.74425023,0.756140351,0.748684211,0.736066329,0.748684211,0.725650775,0.716444982,0.725641342,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1, 'max_iter': 1000}"
16,subsample_9.csv,lr,10,0.759649123,0.743205248,0.759649123,0.765350877,0.750582751,0.765350877,0.75877193,0.742509363,0.75877193,0.735595203,0.726392252,0.735585428,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
16,subsample_7.csv,lr,10,0.739912281,0.724314272,0.739912281,0.742982456,0.729205176,0.742982456,0.738157895,0.726021111,0.738157895,0.724188359,0.713286713,0.7241773,"{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
16,subsample_6.csv,lr,10,0.745175439,0.731887402,0.745175439,0.747807018,0.735388863,0.747807018,0.737719298,0.726440988,0.737719298,0.718046212,0.711031175,0.718039173,"{'C': 1000, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1, 'max_iter': 1000}"
16,subsample_10.csv,lr,10,0.741666667,0.728946157,0.741666667,0.749561404,0.737229636,0.749561404,0.740350877,0.72718894,0.740350877,0.724773326,0.714934868,0.724763293,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1, 'max_iter': 1000}"
16,subsample_4.csv,lr,10,0.753508772,0.738604651,0.753508772,0.75745614,0.744808491,0.75745614,0.744298246,0.731460157,0.744298246,0.725065809,0.717037929,0.725057573,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}"
16,subsample_5.csv,lr,10,0.751315789,0.73664654,0.751315789,0.75,0.735621521,0.75,0.749561404,0.735034803,0.749561404,0.726528225,0.716064379,0.726517508,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1, 'max_iter': 1000}"
16,subsample_1.csv,lr,10,0.735964912,0.725865209,0.735964912,0.744736842,0.735694823,0.744736842,0.736842105,0.727024568,0.736842105,0.722725943,0.715997603,0.722719076,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1, 'max_iter': 1000}"
16,subsample_2.csv,lr,10,0.738157895,0.727770178,0.738157895,0.745175439,0.735548475,0.745175439,0.741666667,0.730681299,0.741666667,0.723603393,0.715275685,0.7235949,"{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
16,subsample_3.csv,lr,10,0.749122807,0.735918744,0.749122807,0.753947368,0.741831569,0.753947368,0.748245614,0.735239852,0.748245614,0.722140977,0.713337357,0.722132056,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}"
16,subsample_8.csv,rfc,10,0.761403509,0.756053812,0.761403509,0.767105263,0.763684913,0.767105263,0.763596491,0.761187417,0.763596491,0.747002047,0.755994358,0.74701289,"{'max_depth': 5, 'n_estimators': 10}","{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 100}"
16,subsample_9.csv,rfc,10,0.764035088,0.763204225,0.764035088,0.776754386,0.776852258,0.776754386,0.760087719,0.755476084,0.760087719,0.746417081,0.753342817,0.746425357,"{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 100}","{'max_depth': 5, 'n_estimators': 10}","{'max_depth': 10, 'n_estimators': 100}"
16,subsample_7.csv,rfc,10,0.768859649,0.772550712,0.768859649,0.762280702,0.764552563,0.762280702,0.753070175,0.751434879,0.753070175,0.743199766,0.753093363,0.743211549,"{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 100}","{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 100}"
16,subsample_6.csv,rfc,10,0.763596491,0.769756514,0.763596491,0.760087719,0.764731183,0.760087719,0.748684211,0.751625488,0.748684211,0.725650775,0.736664795,0.72566307,"{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 100}"
16,subsample_10.csv,rfc,10,0.742982456,0.744773519,0.742982456,0.769736842,0.7751606,0.769736842,0.754824561,0.756214566,0.754824561,0.742322316,0.748213775,0.742329224,"{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 100}"
16,subsample_4.csv,rfc,10,0.765350877,0.770287677,0.765350877,0.76754386,0.771944923,0.76754386,0.752631579,0.752196837,0.752631579,0.735887686,0.743247086,0.735896133,"{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 100}"
