samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
subsample_7.csv,ft_transformer,10,0.7214,0.6827,0.7683,0.7314,0.691,0.7759,0.7132,0.6726,0.7658,0.7121,0.7154,0.7638
subsample_10.csv,ft_transformer,10,0.7261,0.7049,0.7777,0.7239,0.6977,0.7746,0.7011,0.6593,0.7613,0.7068,0.6844,0.7578
subsample_8.csv,ft_transformer,10,0.7186,0.6786,0.7613,0.7196,0.6839,0.7629,0.7068,0.6686,0.7574,0.7118,0.7113,0.7534
subsample_3.csv,ft_transformer,10,0.7321,0.6875,0.7734,0.7325,0.6919,0.7714,0.6993,0.6931,0.7626,0.6957,0.677,0.7478
subsample_1.csv,ft_transformer,10,0.7304,0.6902,0.7633,0.7068,0.6807,0.7688,0.7175,0.6738,0.7592,0.7046,0.6929,0.7481
subsample_2.csv,ft_transformer,10,0.7143,0.6885,0.762,0.7307,0.6905,0.7734,0.7143,0.6751,0.7627,0.7129,0.7,0.7656
subsample_6.csv,ft_transformer,10,0.7304,0.6907,0.7607,0.73,0.6919,0.7689,0.7007,0.6797,0.7545,0.6964,0.6667,0.7436
subsample_5.csv,ft_transformer,10,0.7118,0.6616,0.7531,0.6811,0.586,0.7565,0.7021,0.6661,0.7489,0.7104,0.688,0.7519
subsample_4.csv,ft_transformer,10,0.7132,0.7027,0.7635,0.7136,0.6702,0.7592,0.7171,0.663,0.7572,0.6818,0.6723,0.7321
subsample_9.csv,ft_transformer,10,0.7186,0.689,0.7581,0.7293,0.6914,0.7664,0.7157,0.6738,0.7609,0.7032,0.6984,0.7508
subsample_7.csv,ft_transformer,20,0.7325,0.6921,0.7755,0.7321,0.7031,0.7739,0.7311,0.7069,0.7705,0.7261,0.6853,0.7747
subsample_10.csv,ft_transformer,20,0.7239,0.6998,0.7653,0.7279,0.7033,0.7748,0.7257,0.6988,0.7758,0.7111,0.6946,0.7671
subsample_8.csv,ft_transformer,20,0.7225,0.6971,0.7542,0.7111,0.6873,0.7524,0.7146,0.6756,0.7631,0.7157,0.6793,0.7588
subsample_3.csv,ft_transformer,20,0.7332,0.6925,0.771,0.7318,0.6953,0.7711,0.7139,0.6843,0.7653,0.6964,0.6452,0.7593
subsample_1.csv,ft_transformer,20,0.7275,0.6874,0.7627,0.7293,0.7094,0.7723,0.73,0.6904,0.761,0.7125,0.69,0.7612
subsample_2.csv,ft_transformer,20,0.7229,0.684,0.7726,0.7236,0.7046,0.7762,0.7314,0.6913,0.7757,0.7329,0.6979,0.7757
subsample_6.csv,ft_transformer,20,0.7161,0.6946,0.7737,0.7307,0.6902,0.7696,0.7307,0.6907,0.7734,0.7114,0.701,0.7663
subsample_5.csv,ft_transformer,20,0.7186,0.6924,0.7633,0.7218,0.6991,0.7626,0.7236,0.6859,0.761,0.7275,0.7002,0.7654
subsample_4.csv,ft_transformer,20,0.7343,0.6973,0.7775,0.7357,0.6977,0.771,0.7207,0.7013,0.7756,0.7218,0.7079,0.7696
subsample_9.csv,ft_transformer,20,0.7271,0.6843,0.7707,0.7257,0.6878,0.7695,0.7243,0.6818,0.7673,0.7154,0.694,0.7715
subsample_7.csv,ft_transformer,30,0.7296,0.6914,0.7781,0.7321,0.6949,0.7761,0.7304,0.693,0.7709,0.7193,0.7014,0.7773
subsample_10.csv,ft_transformer,30,0.7204,0.6859,0.778,0.7225,0.6819,0.7777,0.7257,0.6865,0.7717,0.7207,0.6931,0.7751
subsample_8.csv,ft_transformer,30,0.7189,0.6893,0.7651,0.7239,0.6951,0.7723,0.7207,0.6826,0.7613,0.7161,0.6974,0.7658
subsample_3.csv,ft_transformer,30,0.7339,0.693,0.7721,0.7332,0.6937,0.7736,0.7307,0.6853,0.7663,0.7246,0.6971,0.7734
