samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
subsample_7.csv,ft_transformer,10,0.7575,0.7512,0.7995,0.7515,0.7431,0.7929,0.7364,0.7119,0.7887,0.7376,0.7406,0.7935
subsample_10.csv,ft_transformer,10,0.7479,0.7258,0.7973,0.7634,0.7507,0.7973,0.74,0.7236,0.7966,0.734,0.7316,0.7814
subsample_8.csv,ft_transformer,10,0.7392,0.7128,0.7857,0.7586,0.7468,0.7965,0.7284,0.7032,0.7889,0.732,0.7386,0.7832
subsample_3.csv,ft_transformer,10,0.7308,0.7289,0.7799,0.7515,0.7371,0.7881,0.7392,0.7386,0.7882,0.7241,0.7367,0.7725
subsample_1.csv,ft_transformer,10,0.7483,0.7308,0.7901,0.7408,0.7251,0.7854,0.7507,0.7324,0.7924,0.7169,0.7117,0.7672
subsample_2.csv,ft_transformer,10,0.7547,0.7483,0.7939,0.7535,0.7449,0.7997,0.7364,0.7049,0.779,0.7312,0.7351,0.7789
subsample_6.csv,ft_transformer,10,0.7376,0.7098,0.7929,0.7368,0.7253,0.7996,0.7396,0.7343,0.7852,0.7332,0.7271,0.7909
subsample_5.csv,ft_transformer,10,0.7634,0.7488,0.8013,0.7392,0.7335,0.7922,0.7487,0.7304,0.7981,0.7296,0.7247,0.7765
subsample_4.csv,ft_transformer,10,0.7487,0.7324,0.7893,0.7384,0.734,0.7922,0.7328,0.7318,0.789,0.7205,0.7285,0.7697
subsample_9.csv,ft_transformer,10,0.736,0.7318,0.786,0.7642,0.7495,0.7959,0.7642,0.7495,0.7945,0.7197,0.7022,0.777
subsample_7.csv,ft_transformer,20,0.759,0.7522,0.8043,0.759,0.7464,0.8027,0.7539,0.7402,0.8056,0.7519,0.734,0.7994
subsample_10.csv,ft_transformer,20,0.7658,0.7488,0.7956,0.765,0.7579,0.8088,0.7634,0.7578,0.813,0.7594,0.7472,0.8044
subsample_8.csv,ft_transformer,20,0.7551,0.7414,0.7958,0.7586,0.7466,0.7981,0.7523,0.7341,0.7869,0.7507,0.7485,0.7966
subsample_3.csv,ft_transformer,20,0.7618,0.7493,0.7976,0.7455,0.721,0.7931,0.7602,0.7461,0.7839,0.7515,0.7339,0.7983
subsample_1.csv,ft_transformer,20,0.738,0.7166,0.7888,0.7535,0.7417,0.7965,0.7507,0.7456,0.795,0.7364,0.7248,0.7861
subsample_2.csv,ft_transformer,20,0.7384,0.7214,0.793,0.7555,0.7503,0.7961,0.7567,0.7492,0.7993,0.7511,0.7466,0.7981
subsample_6.csv,ft_transformer,20,0.7519,0.7436,0.8023,0.765,0.7507,0.8055,0.7618,0.7456,0.8028,0.7451,0.7393,0.7957
subsample_5.csv,ft_transformer,20,0.7594,0.7411,0.8022,0.7646,0.7578,0.8056,0.7539,0.7424,0.7938,0.7487,0.7429,0.7968
subsample_4.csv,ft_transformer,20,0.7579,0.7527,0.8003,0.759,0.7535,0.7889,0.761,0.7467,0.802,0.7527,0.7376,0.7977
subsample_9.csv,ft_transformer,20,0.7642,0.7565,0.8032,0.7531,0.7477,0.8022,0.765,0.7581,0.8023,0.7531,0.7387,0.7968
subsample_7.csv,ft_transformer,30,0.7547,0.7481,0.8045,0.7555,0.7468,0.8019,0.7602,0.7534,0.8028,0.7523,0.7332,0.8003
