samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
subsample_5_v2.csv,ft_transformer,10,0.7626,0.7627,0.802,0.749,0.754,0.7956,0.7472,0.7459,0.7923,0.7472,0.7531,0.7973
subsample_9_v2.csv,ft_transformer,10,0.7653,0.7683,0.7938,0.7676,0.7663,0.795,0.7503,0.7387,0.7893,0.7413,0.7427,0.7735
subsample_3_v2.csv,ft_transformer,10,0.7472,0.7454,0.7986,0.7508,0.7398,0.7996,0.7404,0.7273,0.7929,0.754,0.7622,0.7986
subsample_6_v2.csv,ft_transformer,10,0.7621,0.7638,0.8008,0.7626,0.764,0.789,0.7295,0.7214,0.7956,0.7576,0.7604,0.7943
subsample_7_v2.csv,ft_transformer,10,0.7494,0.7545,0.7804,0.7435,0.7493,0.79,0.7404,0.7363,0.7864,0.7241,0.7349,0.7764
subsample_8_v2.csv,ft_transformer,10,0.7644,0.7632,0.797,0.7399,0.7267,0.7882,0.725,0.7455,0.7771,0.758,0.7557,0.801
subsample_4_v2.csv,ft_transformer,10,0.7372,0.7337,0.7828,0.7136,0.689,0.7693,0.7286,0.7144,0.7775,0.7372,0.7243,0.7842
subsample_1_v2.csv,ft_transformer,10,0.7499,0.7444,0.802,0.7576,0.7655,0.8012,0.7354,0.7348,0.793,0.7499,0.7484,0.8036
subsample_10_v2.csv,ft_transformer,10,0.7408,0.7202,0.8002,0.7553,0.7589,0.8014,0.7481,0.7419,0.7993,0.7535,0.7545,0.8029
subsample_2_v2.csv,ft_transformer,10,0.7716,0.7656,0.8144,0.7744,0.7716,0.8149,0.763,0.7654,0.8028,0.7549,0.7549,0.7985
subsample_5_v2.csv,ft_transformer,20,0.7544,0.7583,0.8013,0.7594,0.766,0.8021,0.7558,0.7643,0.796,0.7313,0.7246,0.7786
subsample_9_v2.csv,ft_transformer,20,0.7671,0.7647,0.7987,0.7644,0.7615,0.791,0.7512,0.7541,0.7926,0.7304,0.7328,0.7813
subsample_3_v2.csv,ft_transformer,20,0.7635,0.7721,0.8003,0.7662,0.7676,0.7996,0.7667,0.7632,0.8062,0.7395,0.745,0.7913
subsample_6_v2.csv,ft_transformer,20,0.7612,0.7671,0.8005,0.7644,0.7691,0.8024,0.763,0.7664,0.7993,0.7413,0.7403,0.7877
subsample_7_v2.csv,ft_transformer,20,0.7508,0.7534,0.7897,0.754,0.7622,0.7933,0.7522,0.7585,0.7897,0.72,0.7301,0.7706
subsample_8_v2.csv,ft_transformer,20,0.7621,0.7606,0.7972,0.7644,0.7634,0.8044,0.7608,0.7641,0.8002,0.7435,0.7491,0.7899
subsample_4_v2.csv,ft_transformer,20,0.7426,0.7361,0.789,0.744,0.7409,0.7861,0.7517,0.7498,0.7877,0.7377,0.7323,0.7838
subsample_1_v2.csv,ft_transformer,20,0.7617,0.7707,0.8017,0.7667,0.7652,0.8,0.7657,0.7653,0.8033,0.7426,0.7328,0.7925
subsample_10_v2.csv,ft_transformer,20,0.7635,0.764,0.8085,0.7644,0.7651,0.8052,0.7585,0.7556,0.8079,0.7512,0.751,0.7965
subsample_2_v2.csv,ft_transformer,20,0.773,0.7746,0.8094,0.7734,0.7713,0.816,0.7721,0.7696,0.8107,0.7499,0.744,0.7914
subsample_5_v2.csv,ft_transformer,30,0.7522,0.7623,0.7977,0.758,0.7603,0.7972,0.7567,0.7558,0.7979,0.7377,0.7384,0.7859
subsample_9_v2.csv,ft_transformer,30,0.7558,0.7487,0.7945,0.7685,0.7663,0.7956,0.7639,0.76,0.7905,0.725,0.7362,0.7711
subsample_3_v2.csv,ft_transformer,30,0.7703,0.7725,0.8039,0.7648,0.7717,0.8081,0.763,0.7662,0.8052,0.7549,0.7468,0.8033
subsample_6_v2.csv,ft_transformer,30,0.7608,0.7643,0.8005,0.7599,0.7593,0.7987,0.7599,0.7595,0.7994,0.7454,0.75,0.7936
subsample_7_v2.csv,ft_transformer,30,0.7444,0.7418,0.7822,0.749,0.7626,0.791,0.7526,0.7582,0.7792,0.7241,0.7208,0.7757
subsample_8_v2.csv,ft_transformer,30,0.7635,0.7581,0.8002,0.7608,0.7628,0.8062,0.7594,0.7635,0.8024,0.7463,0.7386,0.7905
