length_text,samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
9,subsample_10_v2.csv,lr,10,0.716407599,0.681906238,0.716370219,0.71537133,0.681361176,0.715334546,0.709499136,0.677901187,0.709465335,0.71257485,0.685483871,0.71257485
9,subsample_1_v2.csv,lr,10,0.713298791,0.677795031,0.713260814,0.70880829,0.674893945,0.708772341,0.698445596,0.665901263,0.698412032,0.699447259,0.67268623,0.699447259
9,subsample_2_v2.csv,lr,10,0.708462867,0.675134719,0.708427514,0.720552677,0.681871805,0.720510763,0.708117444,0.674874952,0.70808221,0.714417319,0.681233933,0.714417319
9,subsample_3_v2.csv,lr,10,0.708462867,0.676875957,0.708429185,0.70880829,0.674642995,0.708772102,0.696027634,0.66641395,0.695997052,0.71096269,0.67992859,0.71096269
9,subsample_4_v2.csv,lr,10,0.713644214,0.67604533,0.713604209,0.721243523,0.68039604,0.721199462,0.712607945,0.674745895,0.71256782,0.708659604,0.674890774,0.708659604
9,subsample_5_v2.csv,lr,10,0.715025907,0.678111588,0.714986379,0.717098446,0.680701754,0.717059156,0.711226252,0.676470588,0.711189229,0.720175035,0.687419604,0.720175035
9,subsample_6_v2.csv,lr,10,0.720552677,0.685336445,0.720514104,0.72642487,0.682437851,0.726377111,0.71537133,0.679377432,0.715332637,0.719714417,0.686097498,0.719714417
9,subsample_7_v2.csv,lr,10,0.718825561,0.684006211,0.718787585,0.717789292,0.678978389,0.717747617,0.709499136,0.675665253,0.709463187,0.714187011,0.683499107,0.714187011
9,subsample_8_v2.csv,lr,10,0.716062176,0.682380216,0.716025631,0.720552677,0.677817603,0.720506945,0.710535406,0.677692308,0.710500292,0.713726393,0.68315065,0.713726393
9,subsample_9_v2.csv,lr,10,0.717443869,0.683191325,0.717406608,0.718480138,0.680767724,0.718439417,0.710880829,0.675958188,0.710843687,0.713035468,0.682304946,0.713035468
9,subsample_10_v2.csv,rfc,10,0.723316062,0.683023348,0.72327224,0.719516408,0.676751592,0.719470795,0.716407599,0.676898859,0.716365447,0.705204975,0.680798005,0.705204975
9,subsample_1_v2.csv,rfc,10,0.716753022,0.674344718,0.716708125,0.71433506,0.677834048,0.71429601,0.709153713,0.673390225,0.709115974,0.698065408,0.674931813,0.698065408
9,subsample_2_v2.csv,rfc,10,0.715025907,0.677103718,0.714985424,0.728151986,0.683044704,0.728102914,0.71433506,0.676320939,0.714294578,0.709580838,0.686240358,0.709580838
9,subsample_3_v2.csv,rfc,10,0.716407599,0.674593738,0.716363299,0.718480138,0.674390731,0.718433452,0.706390328,0.672067901,0.706354259,0.713496085,0.688376754,0.713496085
9,subsample_4_v2.csv,rfc,10,0.721243523,0.680901542,0.721199939,0.730915371,0.684231861,0.730864391,0.722279793,0.680952381,0.722235135,0.707508061,0.674692623,0.707508061
9,subsample_5_v2.csv,rfc,10,0.717789292,0.679733438,0.717748332,0.725388601,0.679822795,0.725339529,0.718134715,0.679497251,0.718093159,0.716490097,0.686529157,0.716490097
9,subsample_6_v2.csv,rfc,10,0.729188256,0.689873418,0.729144553,0.73298791,0.685644571,0.732935975,0.723661485,0.689681924,0.723623748,0.714647628,0.686725664,0.714647628
9,subsample_7_v2.csv,rfc,10,0.729533679,0.68338051,0.729483414,0.724697755,0.684606252,0.724653933,0.723661485,0.683794466,0.723618021,0.713265776,0.683286695,0.713265776
9,subsample_8_v2.csv,rfc,10,0.722625216,0.680715706,0.722579962,0.7208981,0.677058353,0.720851295,0.71537133,0.673015873,0.715326671,0.708889912,0.685728493,0.708889912
9,subsample_9_v2.csv,rfc,10,0.717443869,0.675654243,0.717399449,0.720552677,0.676011213,0.720505275,0.71433506,0.674537584,0.714292907,0.707277752,0.679768204,0.707277752
9,subsample_10_v2.csv,xgbc,10,0.721588946,0.682176656,0.721546198,0.719170984,0.679036715,0.719127877,0.718480138,0.680266771,0.71843894,0.711192999,0.684766214,0.711192999
9,subsample_1_v2.csv,xgbc,10,0.715025907,0.672489083,0.714981129,0.716062176,0.677647059,0.716021097,0.707426598,0.672593738,0.707389932,0.700829111,0.673536064,0.700829111
9,subsample_2_v2.csv,xgbc,10,0.712607945,0.674745895,0.71256782,0.72642487,0.67961165,0.726374486,0.713298791,0.681259601,0.713264155,0.711423307,0.685886187,0.711423307
9,subsample_3_v2.csv,xgbc,10,0.71433506,0.67657411,0.714294816,0.713298791,0.675019577,0.713258189,0.708117444,0.673871092,0.708081256,0.712344542,0.682430714,0.712344542
9,subsample_4_v2.csv,xgbc,10,0.724006908,0.683313516,0.723962609,0.730224525,0.685207578,0.730175215,0.7208981,0.68338558,0.72085726,0.711883924,0.678323476,0.711883924
9,subsample_5_v2.csv,xgbc,10,0.719516408,0.679304897,0.719473181,0.72642487,0.6839585,0.726378543,0.722970639,0.683504341,0.722927652,0.716720405,0.686384498,0.716720405
