samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
subsample_5_v2.csv,ft_transformer,10,0.7363,0.7115,0.7931,0.7548,0.7439,0.8047,0.7462,0.7401,0.8023,0.7466,0.746,0.7884
subsample_9_v2.csv,ft_transformer,10,0.7417,0.7234,0.801,0.7326,0.6905,0.8059,0.747,0.7256,0.8051,0.7487,0.7359,0.7991
subsample_3_v2.csv,ft_transformer,10,0.7417,0.7256,0.8012,0.7462,0.734,0.8063,0.7495,0.7544,0.8069,0.745,0.7479,0.7938
subsample_6_v2.csv,ft_transformer,10,0.7618,0.7553,0.8022,0.7511,0.7342,0.7931,0.7594,0.7452,0.8033,0.74,0.7258,0.7897
subsample_7_v2.csv,ft_transformer,10,0.745,0.7262,0.8023,0.747,0.7394,0.8031,0.7499,0.7394,0.8083,0.7404,0.7254,0.7959
subsample_8_v2.csv,ft_transformer,10,0.7458,0.7278,0.7979,0.7326,0.7145,0.787,0.7417,0.7285,0.7973,0.747,0.7365,0.7985
subsample_4_v2.csv,ft_transformer,10,0.7635,0.7574,0.8058,0.745,0.726,0.8001,0.7454,0.7406,0.8033,0.7454,0.7265,0.803
subsample_1_v2.csv,ft_transformer,10,0.7524,0.7323,0.8053,0.7445,0.7421,0.802,0.7396,0.7243,0.7952,0.7491,0.7405,0.8018
subsample_10_v2.csv,ft_transformer,10,0.7388,0.727,0.8032,0.7305,0.7119,0.7968,0.7338,0.7317,0.7977,0.745,0.74,0.7971
subsample_2_v2.csv,ft_transformer,10,0.7528,0.7425,0.8014,0.7252,0.7325,0.7906,0.7351,0.726,0.792,0.7388,0.7462,0.7861
subsample_5_v2.csv,ft_transformer,20,0.7553,0.7442,0.8063,0.7544,0.7429,0.7971,0.7565,0.7458,0.8072,0.7487,0.7389,0.7952
subsample_9_v2.csv,ft_transformer,20,0.7565,0.7388,0.8119,0.7639,0.7521,0.8128,0.7647,0.76,0.8147,0.7309,0.7399,0.7889
subsample_3_v2.csv,ft_transformer,20,0.7569,0.7424,0.8027,0.759,0.744,0.8119,0.7651,0.7587,0.812,0.7396,0.7529,0.7956
subsample_6_v2.csv,ft_transformer,20,0.7643,0.7517,0.807,0.7643,0.7517,0.8099,0.7614,0.7475,0.8052,0.7404,0.7348,0.7934
subsample_7_v2.csv,ft_transformer,20,0.7651,0.7511,0.8063,0.7672,0.7551,0.8116,0.7668,0.7531,0.8077,0.7458,0.7441,0.7963
