length_text,samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
17,subsample_8_v2.csv,lr,30,0.740371545,0.718703976,0.740336796,0.736746715,0.712233779,0.736708269,0.73855913,0.714497773,0.738521095,0.729305136,0.71318822,0.729305136
17,subsample_9_v2.csv,lr,30,0.728137744,0.707602339,0.728106071,0.730856366,0.707677165,0.730820588,0.730856366,0.707677165,0.730820588,0.737462236,0.718679184,0.737462236
17,subsample_10_v2.csv,rfc,30,0.762120526,0.762120526,0.762120682,0.763932941,0.763074125,0.763931455,0.763932941,0.763074125,0.763931455,0.763746224,0.763030303,0.763746224
17,subsample_1_v2.csv,rfc,30,0.763026733,0.762811791,0.763026479,0.766198459,0.76416819,0.766194716,0.766651563,0.764517604,0.766647615,0.75347432,0.750153092,0.75347432
17,subsample_2_v2.csv,rfc,30,0.774354327,0.770718232,0.774347301,0.773901223,0.77099587,0.773895634,0.774354327,0.770718232,0.774347301,0.761329305,0.759293114,0.761329305
17,subsample_3_v2.csv,rfc,30,0.767557771,0.767557771,0.767557928,0.770276393,0.769859283,0.77027573,0.763479837,0.762942779,0.763478967,0.740483384,0.739618066,0.740483384
17,subsample_4_v2.csv,rfc,30,0.753511554,0.755175518,0.753514788,0.754870865,0.755092802,0.754871431,0.75668328,0.75668328,0.756683436,0.741993958,0.742305371,0.741993958
17,subsample_5_v2.csv,rfc,30,0.758042592,0.759459459,0.758045416,0.761667422,0.760473588,0.76166532,0.762573629,0.761601456,0.762571938,0.742900302,0.743906109,0.742900302
17,subsample_6_v2.csv,rfc,30,0.759855007,0.759528131,0.759854547,0.761667422,0.762206148,0.761668605,0.758495696,0.758276644,0.758495441,0.755891239,0.754556501,0.755891239
17,subsample_7_v2.csv,rfc,30,0.748074309,0.753327418,0.748084112,0.75305845,0.754393871,0.753061069,0.75305845,0.758529021,0.75306887,0.742598187,0.744604317,0.742598187
17,subsample_8_v2.csv,rfc,30,0.764386044,0.763421292,0.764384354,0.765292252,0.765822785,0.765293436,0.764386044,0.763421292,0.764384354,0.745015106,0.747607656,0.745015106
17,subsample_9_v2.csv,rfc,30,0.766651563,0.767494357,0.766653363,0.767557771,0.767346939,0.767557518,0.768010874,0.765996344,0.768007131,0.753776435,0.750688284,0.753776435
17,subsample_10_v2.csv,xgbc,30,0.763479837,0.764227642,0.763481431,0.767104667,0.767420814,0.76710544,0.763479837,0.762942779,0.763478967,0.753776435,0.751600122,0.753776435
17,subsample_1_v2.csv,xgbc,30,0.765745356,0.762952774,0.765740175,0.763932941,0.76177412,0.763928991,0.764839148,0.760939659,0.764831914,0.751963746,0.744951848,0.751963746
17,subsample_2_v2.csv,xgbc,30,0.771635705,0.771532185,0.771635658,0.77344812,0.772933697,0.773447252,0.77344812,0.772520473,0.773446431,0.751661631,0.749390244,0.751661631
17,subsample_3_v2.csv,xgbc,30,0.768917082,0.76691042,0.768913339,0.768917082,0.76691042,0.768913339,0.766198459,0.766515837,0.766199233,0.739577039,0.738153098,0.739577039
17,subsample_4_v2.csv,xgbc,30,0.757589488,0.761904762,0.757597856,0.757136384,0.760714286,0.757143315,0.757136384,0.761353517,0.757144546,0.732628399,0.734632684,0.732628399
17,subsample_5_v2.csv,xgbc,30,0.760308111,0.758557736,0.760304982,0.754870865,0.755535472,0.754872252,0.755323969,0.75631769,0.755325972,0.733836858,0.730992366,0.733836858
17,subsample_6_v2.csv,xgbc,30,0.765292252,0.766245487,0.765294257,0.763026733,0.762811791,0.763026479,0.764386044,0.768683274,0.764394619,0.748942598,0.744857231,0.748942598
17,subsample_7_v2.csv,xgbc,30,0.752605347,0.757763975,0.75261515,0.751699139,0.756010686,0.7517073,0.752152243,0.758285462,0.752163894,0.733232628,0.733956011,0.733232628
17,subsample_8_v2.csv,xgbc,30,0.764839148,0.763553531,0.764836842,0.764839148,0.763768776,0.764837252,0.764386044,0.763421292,0.764384354,0.739274924,0.738088012,0.739274924
17,subsample_9_v2.csv,xgbc,30,0.761214318,0.765046812,0.761221865,0.767557771,0.769230769,0.767561213,0.763932941,0.767306833,0.763939667,0.744108761,0.738499537,0.744108761
17,subsample_10_v2.csv,lgbm,30,0.763479837,0.762727273,0.763478557,0.763479837,0.762727273,0.763478557,0.763479837,0.762727273,0.763478557,0.755287009,0.753349574,0.755287009
17,subsample_1_v2.csv,lgbm,30,0.763026733,0.761296212,0.763023605,0.764839148,0.76462585,0.764838895,0.764386044,0.763205829,0.764383943,0.751057402,0.747084101,0.751057402
17,subsample_2_v2.csv,lgbm,30,0.774354327,0.771139706,0.774348122,0.772995016,0.771753986,0.772992711,0.774354327,0.771139706,0.774348122,0.760422961,0.756972112,0.760422961
17,subsample_3_v2.csv,lgbm,30,0.772541912,0.775290958,0.772547614,0.772541912,0.774887892,0.772546793,0.770729497,0.773703041,0.770735609,0.744712991,0.742299482,0.744712991
17,subsample_4_v2.csv,lgbm,30,0.753511554,0.755615454,0.75351561,0.758495696,0.76215975,0.758502832,0.75305845,0.753505201,0.753059426,0.743202417,0.742891712,0.743202417
17,subsample_5_v2.csv,lgbm,30,0.759855007,0.758432088,0.759852494,0.759855007,0.758211679,0.759852083,0.760308111,0.758997722,0.760305803,0.736555891,0.7409388,0.736555891
17,subsample_6_v2.csv,lgbm,30,0.764386044,0.765554554,0.76438846,0.764386044,0.76534296,0.764388049,0.761214318,0.760780754,0.761213653,0.756495468,0.757228916,0.756495468
17,subsample_7_v2.csv,lgbm,30,0.753511554,0.760141093,0.753524232,0.751699139,0.75795053,0.751710996,0.75305845,0.759594177,0.753070923,0.739879154,0.739011822,0.739879154
17,subsample_8_v2.csv,lgbm,30,0.764386044,0.762122598,0.76438189,0.763932941,0.762209037,0.763929813,0.764386044,0.763421292,0.764384354,0.745015106,0.747758518,0.745015106
17,subsample_9_v2.csv,lgbm,30,0.763932941,0.767514502,0.763940078,0.763026733,0.765785938,0.763032228,0.764839148,0.768200089,0.764845875,0.756193353,0.751462889,0.756193353
17,subsample_10_v2.csv,lr,50,0.743543271,0.722276742,0.743508728,0.74218396,0.722032242,0.742151264,0.742637064,0.722113503,0.742603752,0.748640483,0.730220493,0.748640483
17,subsample_1_v2.csv,lr,50,0.737652923,0.716870416,0.737619815,0.737652923,0.716037273,0.737618583,0.737199819,0.715686275,0.737165684,0.745015106,0.725795971,0.745015106
17,subsample_2_v2.csv,lr,50,0.747168101,0.724852071,0.747131506,0.748527413,0.725925926,0.748490201,0.746714998,0.724766125,0.746679018,0.747129909,0.728862974,0.747129909
17,subsample_3_v2.csv,lr,50,0.740824649,0.720156556,0.740791337,0.74218396,0.721215091,0.742150032,0.741730856,0.720588235,0.741696723,0.73897281,0.722899294,0.73897281
17,subsample_4_v2.csv,lr,50,0.722700498,0.706051873,0.722674984,0.724512913,0.707692308,0.724486989,0.724966017,0.707751565,0.724939477,0.733534743,0.716944801,0.733534743
17,subsample_5_v2.csv,lr,50,0.734481196,0.713867188,0.734448704,0.734028092,0.713238886,0.733995395,0.733574989,0.713170732,0.733542907,0.735649547,0.717103136,0.735649547
17,subsample_6_v2.csv,lr,50,0.736746715,0.714776632,0.736711965,0.735840507,0.713513514,0.735805346,0.737199819,0.714566929,0.737164042,0.73776435,0.719457014,0.73776435
17,subsample_7_v2.csv,lr,50,0.728590847,0.710488159,0.728562665,0.729043951,0.709143969,0.7290131,0.728590847,0.709082079,0.728560612,0.734138973,0.714656291,0.734138973
17,subsample_8_v2.csv,lr,50,0.739918441,0.719178082,0.739885129,0.738106026,0.71611002,0.738071071,0.734028092,0.712113781,0.733993752,0.735649547,0.718196457,0.735649547
17,subsample_9_v2.csv,lr,50,0.727231536,0.705479452,0.727198221,0.729043951,0.708007813,0.729011458,0.726778432,0.705134474,0.726745322,0.740785498,0.721789883,0.740785498
17,subsample_10_v2.csv,rfc,50,0.762120526,0.762335899,0.762121093,0.764386044,0.764705882,0.764386817,0.763479837,0.762511374,0.763478146,0.76163142,0.76040085,0.76163142
17,subsample_1_v2.csv,rfc,50,0.766651563,0.764947513,0.766648436,0.765745356,0.764249886,0.765742639,0.763479837,0.762078396,0.763477325,0.75407855,0.752131547,0.75407855
17,subsample_2_v2.csv,rfc,50,0.77344812,0.770220588,0.773441914,0.771635705,0.767527675,0.771627856,0.772995016,0.768591224,0.772986552,0.765558912,0.763990268,0.765558912
17,subsample_3_v2.csv,rfc,50,0.768463978,0.768882858,0.768464957,0.767104667,0.766999093,0.767104619,0.766198459,0.765027322,0.766196358,0.737462236,0.737541528,0.737462236
17,subsample_4_v2.csv,rfc,50,0.756230177,0.758527828,0.756234643,0.754870865,0.756853933,0.754874716,0.753964658,0.755735493,0.753968098,0.740181269,0.741431149,0.740181269
17,subsample_5_v2.csv,rfc,50,0.761667422,0.760473588,0.76166532,0.761667422,0.760255242,0.761664909,0.762573629,0.761166819,0.762571117,0.744108761,0.745263158,0.744108761
17,subsample_6_v2.csv,rfc,50,0.760308111,0.760525124,0.760308677,0.763479837,0.763586957,0.763480199,0.761214318,0.761430512,0.761214885,0.748338369,0.74811007,0.748338369
17,subsample_7_v2.csv,rfc,50,0.748074309,0.752448798,0.748082469,0.753511554,0.754954955,0.753514378,0.753964658,0.755515534,0.753967687,0.743504532,0.743736794,0.743504532
17,subsample_8_v2.csv,rfc,50,0.764386044,0.763421292,0.764384354,0.764839148,0.763768776,0.764837252,0.764839148,0.763768776,0.764837252,0.749848943,0.75164967,0.749848943
17,subsample_9_v2.csv,rfc,50,0.764839148,0.766321477,0.764842179,0.768463978,0.766560073,0.768460441,0.765292252,0.764972777,0.765291793,0.758308157,0.754601227,0.758308157
17,subsample_10_v2.csv,xgbc,50,0.761214318,0.763994626,0.761219812,0.766198459,0.76735798,0.766200875,0.766198459,0.767776778,0.766201696,0.748036254,0.744641764,0.748036254
17,subsample_1_v2.csv,xgbc,50,0.760308111,0.75833714,0.760304571,0.766198459,0.764813127,0.766195948,0.760761214,0.759562842,0.760759112,0.752265861,0.74706971,0.752265861
17,subsample_2_v2.csv,xgbc,50,0.772541912,0.772438803,0.772541865,0.774354327,0.771139706,0.774348122,0.771182601,0.769931663,0.771180296,0.754682779,0.748138958,0.754682779
17,subsample_3_v2.csv,xgbc,50,0.77344812,0.775985663,0.773453411,0.770276393,0.769020501,0.770274088,0.768917082,0.76691042,0.768913339,0.740181269,0.734731647,0.740181269
17,subsample_4_v2.csv,xgbc,50,0.759401903,0.76262852,0.759408218,0.757136384,0.759856631,0.757141672,0.759401903,0.764940239,0.759412735,0.734441088,0.736273627,0.734441088
17,subsample_5_v2.csv,xgbc,50,0.757589488,0.759766502,0.75759375,0.752152243,0.752600633,0.752153218,0.756230177,0.757439134,0.75623259,0.735649547,0.734284847,0.735649547
17,subsample_6_v2.csv,xgbc,50,0.761214318,0.760997732,0.761214064,0.763026733,0.764095625,0.763028943,0.762120526,0.764890282,0.76212602,0.745619335,0.74060382,0.745619335
17,subsample_7_v2.csv,xgbc,50,0.756230177,0.759606792,0.756236696,0.753511554,0.759929391,0.753523822,0.755777073,0.76097561,0.755787083,0.735649547,0.732987489,0.735649547
17,subsample_8_v2.csv,xgbc,50,0.765292252,0.764116576,0.765290151,0.764386044,0.763421292,0.764384354,0.764386044,0.763421292,0.764384354,0.746223565,0.746835443,0.746223565
17,subsample_9_v2.csv,xgbc,50,0.764386044,0.769299024,0.764395851,0.767557771,0.769645263,0.767562034,0.763932941,0.765632029,0.763936382,0.74592145,0.741151123,0.74592145
17,subsample_10_v2.csv,lgbm,50,0.764839148,0.765476728,0.764840537,0.763479837,0.762727273,0.763478557,0.763479837,0.762727273,0.763478557,0.758308157,0.757134183,0.758308157
17,subsample_1_v2.csv,lgbm,50,0.762120526,0.760383387,0.762117397,0.764839148,0.763983629,0.764837663,0.763932941,0.761991777,0.763929402,0.752265861,0.748002459,0.752265861
17,subsample_2_v2.csv,lgbm,50,0.770729497,0.77166065,0.770731503,0.770276393,0.767324461,0.770270803,0.771182601,0.771389769,0.77118317,0.758610272,0.753471151,0.758610272
17,subsample_3_v2.csv,lgbm,50,0.76982329,0.771377138,0.769826527,0.771182601,0.772420009,0.771185223,0.770276393,0.771312585,0.770278604,0.742296073,0.740965685,0.742296073
17,subsample_4_v2.csv,lgbm,50,0.753511554,0.7564906,0.753517252,0.753964658,0.755295178,0.753967276,0.752152243,0.753270185,0.75215445,0.741087613,0.741165811,0.741087613
17,subsample_5_v2.csv,lgbm,50,0.75668328,0.758651685,0.756687131,0.757136384,0.758775878,0.757139619,0.758495696,0.76001801,0.758498725,0.74652568,0.749477456,0.74652568
17,subsample_6_v2.csv,lgbm,50,0.760761214,0.762376238,0.76076445,0.762120526,0.76340694,0.762123146,0.763479837,0.766547406,0.763485947,0.755287009,0.754098361,0.755287009
17,subsample_7_v2.csv,lgbm,50,0.750792932,0.756205674,0.750803146,0.752605347,0.759046778,0.752617614,0.751699139,0.75795053,0.751710996,0.739274924,0.73935367,0.739274924
17,subsample_8_v2.csv,lgbm,50,0.764386044,0.762122598,0.76438189,0.763932941,0.762209037,0.763929813,0.763932941,0.762209037,0.763929813,0.752265861,0.754931261,0.752265861
17,subsample_9_v2.csv,lgbm,50,0.758495696,0.761307658,0.758501189,0.764386044,0.764279238,0.764385996,0.763932941,0.763932941,0.763933097,0.758912387,0.754310345,0.758912387
17,subsample_10_v2.csv,lr,75,0.741730856,0.722222222,0.741699187,0.741277753,0.721055203,0.741245056,0.743090168,0.723009282,0.743057472,0.749546828,0.731106066,0.749546828
17,subsample_1_v2.csv,lr,75,0.741730856,0.721407625,0.741697955,0.741730856,0.721679688,0.741698365,0.741730856,0.721407625,0.741697955,0.745619335,0.726623377,0.745619335
17,subsample_2_v2.csv,lr,75,0.748074309,0.726915521,0.748039356,0.74943362,0.728522337,0.749398873,0.748527413,0.726735598,0.748491433,0.74652568,0.728038898,0.74652568
17,subsample_3_v2.csv,lr,75,0.740824649,0.720703125,0.740792158,0.741730856,0.720588235,0.741696723,0.743090168,0.722195002,0.74305624,0.73897281,0.722721438,0.73897281
17,subsample_4_v2.csv,lr,75,0.723606706,0.706448508,0.72358037,0.724512913,0.708253359,0.72448781,0.722700498,0.705769231,0.722674573,0.733836858,0.717356432,0.733836858
17,subsample_5_v2.csv,lr,75,0.734481196,0.714424951,0.734449525,0.736293611,0.716650438,0.736262351,0.7349343,0.714494876,0.734902013,0.736253776,0.717932149,0.736253776
17,subsample_6_v2.csv,lr,75,0.736746715,0.714215445,0.736711144,0.737652923,0.716315532,0.737618994,0.737652923,0.715479115,0.737617762,0.73776435,0.719457014,0.73776435
17,subsample_7_v2.csv,lr,75,0.72768464,0.708110733,0.727654404,0.726778432,0.706283488,0.726746965,0.728590847,0.708799222,0.728560201,0.732930514,0.712987013,0.732930514
17,subsample_8_v2.csv,lr,75,0.74218396,0.72039312,0.7421488,0.743090168,0.72110182,0.743054597,0.739012234,0.717923604,0.738978511,0.736555891,0.719433719,0.736555891
17,subsample_9_v2.csv,lr,75,0.730403262,0.709614446,0.730370974,0.730403262,0.710743802,0.730372617,0.728137744,0.707602339,0.728106071,0.741087613,0.722204214,0.741087613
17,subsample_10_v2.csv,rfc,75,0.763026733,0.761948111,0.763024837,0.760308111,0.758116141,0.760304161,0.762573629,0.763751127,0.762576044,0.758912387,0.756707317,0.758912387
17,subsample_1_v2.csv,rfc,75,0.763479837,0.762078396,0.763477325,0.766198459,0.766092475,0.766198411,0.761214318,0.760780754,0.761213653,0.756495468,0.75381796,0.756495468
17,subsample_2_v2.csv,rfc,75,0.771635705,0.768807339,0.77163032,0.770729497,0.767463235,0.770723291,0.773901223,0.771205869,0.773896044,0.760120846,0.758515815,0.760120846
17,subsample_3_v2.csv,rfc,75,0.768917082,0.768392371,0.768916213,0.768010874,0.767905712,0.768010827,0.770729497,0.77166065,0.770731503,0.741087613,0.739592829,0.741087613
17,subsample_4_v2.csv,rfc,75,0.754870865,0.756635178,0.754874305,0.753964658,0.755515534,0.753967687,0.754417762,0.756513926,0.754421817,0.735951662,0.735472155,0.735951662
17,subsample_5_v2.csv,rfc,75,0.761667422,0.760473588,0.76166532,0.761214318,0.76056338,0.761213243,0.762573629,0.760730594,0.762570296,0.744108761,0.744956338,0.744108761
17,subsample_6_v2.csv,rfc,75,0.760308111,0.760957976,0.760309498,0.759855007,0.760830325,0.759857011,0.761667422,0.761775362,0.761667784,0.755287009,0.753499696,0.755287009
17,subsample_7_v2.csv,rfc,75,0.746714998,0.751445087,0.746723774,0.747168101,0.752878654,0.747178725,0.748980517,0.753777778,0.748989498,0.740483384,0.739301973,0.740483384
17,subsample_8_v2.csv,rfc,75,0.761667422,0.762849414,0.761669837,0.763932941,0.763932941,0.763933097,0.764839148,0.763553531,0.764836842,0.745317221,0.745701357,0.745317221
17,subsample_9_v2.csv,rfc,75,0.766198459,0.767776778,0.766201696,0.766651563,0.767073722,0.766652542,0.766198459,0.766726944,0.766199643,0.762839879,0.760012229,0.762839879
