length_text,samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
13,subsample_7_v2.csv,lr,10,0.735188867,0.712931034,0.789120196,0.746322068,0.723330442,0.793949115,0.736779324,0.715879828,0.787926562,0.739994699,0.724360775,0.791833924
13,subsample_9_v2.csv,lr,10,0.743538767,0.72281908,0.789815191,0.746322068,0.723809524,0.792507269,0.743538767,0.728649558,0.787830439,0.746355685,0.730498451,0.792225058
13,subsample_5_v2.csv,lr,10,0.75387674,0.725984949,0.796355987,0.745129225,0.71996505,0.795642652,0.737574553,0.716494845,0.78910818,0.746355685,0.728664587,0.794295231
13,subsample_1_v2.csv,lr,10,0.740357853,0.718413109,0.78993408,0.739960239,0.719313305,0.790374539,0.731610338,0.71506965,0.785513999,0.74503048,0.729319077,0.796295016
13,subsample_10_v2.csv,lr,10,0.736779324,0.714900947,0.79368952,0.743141153,0.72034632,0.795656249,0.734393638,0.714529915,0.790798555,0.74264511,0.727629734,0.79196641
13,subsample_3_v2.csv,lr,10,0.732803181,0.713554987,0.784707071,0.734393638,0.714773698,0.785190216,0.727634195,0.715413378,0.781569791,0.731778426,0.721058434,0.785063961
13,subsample_6_v2.csv,lr,10,0.745129225,0.725716731,0.797462035,0.747912525,0.723385689,0.798341055,0.742743539,0.720518359,0.794415502,0.750596342,0.73410568,0.798348751
13,subsample_8_v2.csv,lr,10,0.740755467,0.722789116,0.791001868,0.746322068,0.725,0.794658023,0.738369781,0.720713073,0.790546232,0.742910151,0.72798654,0.795247918
13,subsample_4_v2.csv,lr,10,0.735586481,0.715933362,0.786647556,0.737574553,0.720338983,0.788993402,0.732405567,0.71398215,0.785312583,0.741849987,0.725633803,0.787621225
13,subsample_2_v2.csv,lr,10,0.74473161,0.719650655,0.795113975,0.743538767,0.717477004,0.795665418,0.744333996,0.718106094,0.79535871,0.739994699,0.725440806,0.789708397
13,subsample_7_v2.csv,rfc,10,0.743936382,0.728040541,0.793930776,0.757057654,0.750713994,0.79830659,0.746322068,0.737015664,0.794381037,0.739199576,0.734627832,0.789691538
13,subsample_9_v2.csv,rfc,10,0.753479125,0.745484401,0.794658972,0.762624254,0.754825462,0.796400886,0.752286282,0.745402534,0.797060468,0.751126425,0.747919463,0.790006384
