length_text,samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
12,subsample_10_v2.csv,lr,10,0.726331928,0.696943973,0.726294866,0.726715217,0.696724798,0.72667742,0.727865082,0.698897371,0.727828315,0.731987736,0.715332429,0.731987736
12,subsample_1_v2.csv,lr,10,0.721732465,0.692111959,0.721695696,0.721349176,0.693378321,0.721314317,0.719049444,0.690325306,0.719013998,0.727644354,0.708105148,0.727644354
12,subsample_2_v2.csv,lr,10,0.729014948,0.696175333,0.728973627,0.725948639,0.695095949,0.725909962,0.724415485,0.697263158,0.724381214,0.733776188,0.716076294,0.733776188
12,subsample_3_v2.csv,lr,10,0.713683404,0.687054881,0.713650894,0.716749713,0.688317166,0.716714853,0.712916826,0.685161833,0.712883142,0.733776188,0.714050494,0.733776188
12,subsample_4_v2.csv,lr,10,0.723648908,0.694102673,0.723611993,0.723265619,0.695101351,0.72323032,0.723265619,0.693808312,0.723228851,0.732754216,0.71606949,0.732754216
12,subsample_5_v2.csv,lr,10,0.724415485,0.697263158,0.724381214,0.725565351,0.698145025,0.72553064,0.718666156,0.695182724,0.718636732,0.739397036,0.719317556,0.739397036
12,subsample_6_v2.csv,lr,10,0.723648908,0.696421053,0.723614637,0.723265619,0.695615514,0.723230908,0.723648908,0.696676483,0.723614931,0.736586612,0.717920657,0.736586612
12,subsample_7_v2.csv,lr,10,0.724798773,0.69524618,0.724761712,0.725948639,0.695874096,0.725910843,0.725182062,0.695541401,0.725144853,0.728921819,0.712388181,0.728921819
12,subsample_8_v2.csv,lr,10,0.72288233,0.696855346,0.722849529,0.724798773,0.696534235,0.724763181,0.724415485,0.697263158,0.724381214,0.735309147,0.714914695,0.735309147
12,subsample_9_v2.csv,lr,10,0.72019931,0.690939881,0.720163129,0.719816021,0.690647482,0.719779987,0.714449981,0.688675303,0.714418353,0.731732243,0.715755279,0.731732243
