samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
subsample_5_v2.csv,ft_transformer,10,0.7137,0.6516,0.7512,0.6785,0.6272,0.7372,0.6918,0.6256,0.7413,0.6928,0.6275,0.7396
subsample_9_v2.csv,ft_transformer,10,0.7137,0.6596,0.7584,0.6891,0.6465,0.7507,0.7157,0.6532,0.742,0.7004,0.6334,0.7517
subsample_3_v2.csv,ft_transformer,10,0.7017,0.6347,0.7416,0.7054,0.6457,0.7446,0.6931,0.6254,0.7414,0.6772,0.6346,0.7313
subsample_6_v2.csv,ft_transformer,10,0.7004,0.6328,0.7537,0.7067,0.6453,0.7479,0.6894,0.6211,0.7548,0.7014,0.6386,0.752
subsample_7_v2.csv,ft_transformer,10,0.709,0.6416,0.7523,0.6921,0.6769,0.746,0.6858,0.6756,0.7324,0.6954,0.6721,0.7495
subsample_8_v2.csv,ft_transformer,10,0.6984,0.65,0.7495,0.7044,0.642,0.756,0.6901,0.6515,0.7506,0.6921,0.6469,0.739
subsample_4_v2.csv,ft_transformer,10,0.71,0.6532,0.7505,0.719,0.6558,0.7637,0.6934,0.6399,0.7448,0.7034,0.643,0.7575
subsample_1_v2.csv,ft_transformer,10,0.7193,0.6561,0.7651,0.7196,0.6629,0.7652,0.6788,0.6322,0.731,0.712,0.6443,0.7645
subsample_10_v2.csv,ft_transformer,10,0.7077,0.6483,0.7523,0.7064,0.6447,0.7426,0.6815,0.588,0.7424,0.6981,0.6331,0.7463
subsample_2_v2.csv,ft_transformer,10,0.6908,0.6202,0.7466,0.6858,0.6276,0.7328,0.6954,0.6169,0.7481,0.7044,0.6377,0.7513
subsample_5_v2.csv,ft_transformer,20,0.704,0.6502,0.7469,0.7133,0.6511,0.743,0.6997,0.6518,0.7412,0.7007,0.6378,0.7506
subsample_9_v2.csv,ft_transformer,20,0.7183,0.6622,0.7578,0.7094,0.6422,0.748,0.7153,0.6529,0.7666,0.71,0.6556,0.7571
subsample_3_v2.csv,ft_transformer,20,0.7057,0.6448,0.7354,0.7037,0.659,0.7421,0.7064,0.6459,0.7418,0.7027,0.6596,0.7438
subsample_6_v2.csv,ft_transformer,20,0.7064,0.6441,0.7529,0.7077,0.6466,0.7482,0.708,0.6549,0.758,0.6938,0.6555,0.7397
subsample_7_v2.csv,ft_transformer,20,0.712,0.6489,0.7519,0.7107,0.6461,0.7496,0.7143,0.6585,0.7452,0.7147,0.6664,0.7535
subsample_8_v2.csv,ft_transformer,20,0.7057,0.6462,0.7585,0.7067,0.6461,0.7292,0.7021,0.6373,0.7535,0.6967,0.6315,0.7479
subsample_4_v2.csv,ft_transformer,20,0.7186,0.655,0.7682,0.7183,0.655,0.768,0.6974,0.6238,0.7308,0.7123,0.6739,0.7599
subsample_1_v2.csv,ft_transformer,20,0.7243,0.668,0.7637,0.7087,0.6369,0.7583,0.7193,0.6561,0.7634,0.712,0.6466,0.7643
subsample_10_v2.csv,ft_transformer,20,0.7011,0.6339,0.7398,0.7067,0.6447,0.7497,0.708,0.6472,0.7548,0.6934,0.6557,0.741
subsample_2_v2.csv,ft_transformer,20,0.707,0.6818,0.7634,0.715,0.6532,0.7613,0.7153,0.6529,0.7538,0.714,0.6635,0.7568
subsample_5_v2.csv,ft_transformer,30,0.7127,0.6511,0.7565,0.7137,0.6516,0.7419,0.7087,0.681,0.7546,0.7047,0.646,0.75
subsample_9_v2.csv,ft_transformer,30,0.7117,0.65,0.7607,0.7143,0.651,0.7569,0.7133,0.6485,0.758,0.7034,0.6363,0.7529
subsample_3_v2.csv,ft_transformer,30,0.7097,0.6612,0.7475,0.705,0.6518,0.7478,0.6971,0.6625,0.7436,0.6994,0.6427,0.7439
subsample_6_v2.csv,ft_transformer,30,0.7024,0.6611,0.7513,0.7087,0.6477,0.7505,0.708,0.6472,0.7545,0.7014,0.6482,0.7448
subsample_7_v2.csv,ft_transformer,30,0.7117,0.6483,0.7514,0.7143,0.6574,0.7555,0.713,0.6502,0.748,0.7021,0.6503,0.7473
subsample_8_v2.csv,ft_transformer,30,0.7064,0.6476,0.7602,0.7064,0.6461,0.7605,0.6991,0.6757,0.7564,0.7014,0.6468,0.7459
subsample_4_v2.csv,ft_transformer,30,0.719,0.6558,0.7667,0.6904,0.6407,0.7502,0.7007,0.6223,0.7544,0.7094,0.649,0.7602
subsample_1_v2.csv,ft_transformer,30,0.717,0.6656,0.7706,0.7113,0.6737,0.7572,0.7074,0.6745,0.7593,0.715,0.6664,0.7656
subsample_10_v2.csv,ft_transformer,30,0.708,0.6472,0.7527,0.7047,0.64,0.7482,0.708,0.648,0.755,0.7044,0.6662,0.7486
subsample_2_v2.csv,ft_transformer,30,0.7147,0.6524,0.7596,0.7177,0.6592,0.7556,0.7137,0.6499,0.7582,0.7077,0.6472,0.7558
subsample_5_v2.csv,ft_transformer,50,0.714,0.6521,0.754,0.714,0.6524,0.7528,0.713,0.6497,0.7479,0.7113,0.6548,0.7523
subsample_9_v2.csv,ft_transformer,50,0.714,0.6667,0.7564,0.706,0.6945,0.7565,0.7094,0.641,0.7498,0.708,0.6502,0.7582
subsample_3_v2.csv,ft_transformer,50,0.7067,0.6563,0.7457,0.705,0.6443,0.7441,0.706,0.6467,0.7462,0.6802,0.666,0.7251
subsample_6_v2.csv,ft_transformer,50,0.709,0.6554,0.7521,0.706,0.6436,0.7549,0.7047,0.6414,0.7535,0.7014,0.6465,0.7545
subsample_7_v2.csv,ft_transformer,50,0.6885,0.6912,0.7496,0.705,0.6334,0.7528,0.7034,0.6814,0.7444,0.6798,0.5828,0.7363
subsample_8_v2.csv,ft_transformer,50,0.7027,0.6869,0.7592,0.705,0.6423,0.7594,0.704,0.6418,0.7547,0.6948,0.6369,0.7533
subsample_4_v2.csv,ft_transformer,50,0.7047,0.6295,0.7564,0.7193,0.6613,0.7579,0.719,0.6572,0.7666,0.7147,0.6554,0.7612
subsample_1_v2.csv,ft_transformer,50,0.717,0.6576,0.7681,0.7193,0.697,0.7677,0.7206,0.6656,0.7627,0.7094,0.6689,0.7598
subsample_10_v2.csv,ft_transformer,50,0.7047,0.6411,0.7468,0.7064,0.6436,0.7496,0.6974,0.6244,0.7471,0.6971,0.663,0.7474
subsample_2_v2.csv,ft_transformer,50,0.715,0.6554,0.7602,0.713,0.6479,0.7507,0.6997,0.6228,0.7398,0.7094,0.654,0.7439
subsample_5_v2.csv,ft_transformer,75,0.7067,0.6563,0.7544,0.707,0.6472,0.7452,0.6974,0.619,0.7509,0.7027,0.6358,0.7478
subsample_9_v2.csv,ft_transformer,75,0.7007,0.6242,0.7568,0.7137,0.6502,0.7586,0.71,0.7041,0.7679,0.7037,0.6626,0.7481
subsample_3_v2.csv,ft_transformer,75,0.7011,0.6395,0.7463,0.6911,0.6847,0.7479,0.6981,0.6594,0.749,0.6934,0.6679,0.7399
subsample_6_v2.csv,ft_transformer,75,0.7054,0.6448,0.7502,0.7094,0.6516,0.7504,0.7084,0.6546,0.751,0.6914,0.6809,0.7506
subsample_7_v2.csv,ft_transformer,75,0.7133,0.6558,0.7496,0.7127,0.6505,0.7466,0.712,0.6494,0.7503,0.6944,0.6754,0.7521
subsample_8_v2.csv,ft_transformer,75,0.7067,0.6517,0.7611,0.7024,0.6462,0.7551,0.7014,0.6406,0.7508,0.7031,0.6516,0.7511
subsample_4_v2.csv,ft_transformer,75,0.715,0.6446,0.7668,0.7153,0.6486,0.7611,0.7153,0.6486,0.7671,0.7157,0.6617,0.7632
subsample_1_v2.csv,ft_transformer,75,0.7186,0.655,0.7676,0.716,0.659,0.7591,0.705,0.6276,0.7569,0.7167,0.6695,0.7627
subsample_10_v2.csv,ft_transformer,75,0.708,0.6469,0.752,0.7037,0.6499,0.7474,0.7047,0.6488,0.7519,0.7037,0.6551,0.7466
subsample_2_v2.csv,ft_transformer,75,0.6964,0.6969,0.7624,0.7097,0.657,0.7502,0.712,0.648,0.7439,0.6938,0.6149,0.7468
subsample_5_v2.csv,ft_transformer,90,0.7137,0.6516,0.7536,0.7054,0.6373,0.744,0.7107,0.6509,0.7507,0.7123,0.6778,0.7533
subsample_9_v2.csv,ft_transformer,90,0.7047,0.6657,0.7509,0.7123,0.6471,0.7539,0.7167,0.668,0.7624,0.6977,0.6225,0.7524
subsample_3_v2.csv,ft_transformer,90,0.6981,0.6295,0.7405,0.7024,0.6696,0.7415,0.6948,0.6662,0.7424,0.6961,0.6318,0.7397
subsample_6_v2.csv,ft_transformer,90,0.7011,0.6324,0.7469,0.6948,0.6749,0.7481,0.71,0.6578,0.7531,0.7014,0.6517,0.7437
subsample_7_v2.csv,ft_transformer,90,0.7123,0.6553,0.7488,0.712,0.6802,0.7514,0.7084,0.6538,0.7477,0.704,0.6521,0.7527
subsample_8_v2.csv,ft_transformer,90,0.7037,0.6406,0.7533,0.704,0.6403,0.749,0.709,0.6605,0.7595,0.6911,0.6183,0.7456
subsample_4_v2.csv,ft_transformer,90,0.7163,0.6517,0.7617,0.7157,0.6489,0.7603,0.7127,0.653,0.7661,0.7107,0.6548,0.7565
subsample_1_v2.csv,ft_transformer,90,0.717,0.6559,0.7648,0.715,0.6475,0.7559,0.7203,0.6619,0.7612,0.7117,0.6472,0.7654
subsample_10_v2.csv,ft_transformer,90,0.7054,0.6504,0.7508,0.7031,0.6378,0.7427,0.704,0.6466,0.7486,0.7004,0.631,0.7474
subsample_2_v2.csv,ft_transformer,90,0.711,0.654,0.7436,0.7143,0.6524,0.7425,0.7153,0.654,0.7564,0.705,0.6696,0.751
