samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
subsample_5_v2.csv,ft_transformer,10,0.719,0.7014,0.7799,0.7296,0.7192,0.7891,0.719,0.7204,0.7843,0.7275,0.7268,0.776
subsample_9_v2.csv,ft_transformer,10,0.7548,0.7409,0.8056,0.7454,0.7312,0.8036,0.7437,0.7332,0.8004,0.7441,0.7368,0.7946
subsample_3_v2.csv,ft_transformer,10,0.7228,0.7101,0.784,0.733,0.7297,0.7964,0.722,0.7258,0.7902,0.7296,0.7323,0.7846
subsample_6_v2.csv,ft_transformer,10,0.7437,0.7365,0.7805,0.7412,0.7311,0.7928,0.742,0.7362,0.7943,0.7309,0.737,0.777
subsample_7_v2.csv,ft_transformer,10,0.7318,0.7147,0.7892,0.7429,0.7379,0.7942,0.7309,0.7136,0.786,0.7326,0.7351,0.7827
subsample_8_v2.csv,ft_transformer,10,0.7446,0.7238,0.7985,0.7343,0.7304,0.7844,0.7433,0.7249,0.8067,0.7488,0.7393,0.7998
subsample_4_v2.csv,ft_transformer,10,0.751,0.742,0.7905,0.7475,0.7385,0.7984,0.7365,0.7299,0.7914,0.7382,0.7356,0.7805
subsample_1_v2.csv,ft_transformer,10,0.739,0.7185,0.7742,0.7365,0.7287,0.7867,0.7386,0.7187,0.7896,0.7416,0.7494,0.7879
subsample_10_v2.csv,ft_transformer,10,0.7535,0.7489,0.7998,0.7505,0.7361,0.803,0.7271,0.7101,0.7752,0.7318,0.7334,0.7839
subsample_2_v2.csv,ft_transformer,10,0.7322,0.7161,0.7814,0.7454,0.7378,0.7828,0.7075,0.7177,0.7693,0.7313,0.7268,0.7719
subsample_5_v2.csv,ft_transformer,20,0.742,0.7331,0.7762,0.745,0.7386,0.7989,0.7441,0.7375,0.79,0.7151,0.7088,0.7796
subsample_9_v2.csv,ft_transformer,20,0.762,0.7557,0.8097,0.7586,0.7427,0.8096,0.765,0.7532,0.8041,0.7467,0.7485,0.8014
