samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
subsample_5_v2.csv,FTT,10,0.857,0.857,0.9207,0.8461,0.8547,0.9153,0.8397,0.8445,0.9102,0.8477,0.8517,0.9102
subsample_9_v2.csv,FTT,10,0.8709,0.8689,0.931,0.8769,0.8812,0.9342,0.8616,0.8626,0.925,0.8547,0.8585,0.9217
subsample_3_v2.csv,FTT,10,0.8683,0.87,0.9263,0.8616,0.8691,0.9312,0.851,0.8562,0.922,0.8391,0.8321,0.9158
subsample_6_v2.csv,FTT,10,0.8597,0.8604,0.9248,0.8666,0.8675,0.9262,0.8457,0.8466,0.9171,0.8364,0.8463,0.9052
subsample_7_v2.csv,FTT,10,0.8616,0.8585,0.9257,0.8616,0.8604,0.9284,0.8517,0.8503,0.9108,0.8507,0.849,0.9149
subsample_8_v2.csv,FTT,10,0.8643,0.8639,0.9234,0.8524,0.8494,0.9207,0.8461,0.8465,0.9144,0.848,0.8541,0.903
subsample_4_v2.csv,FTT,10,0.8603,0.8608,0.924,0.852,0.8515,0.9246,0.8434,0.8396,0.9129,0.85,0.8482,0.9204
subsample_1_v2.csv,FTT,10,0.852,0.8557,0.922,0.8597,0.8608,0.9292,0.8507,0.8467,0.9221,0.8587,0.8624,0.9268
subsample_10_v2.csv,FTT,10,0.853,0.8557,0.9172,0.8497,0.8515,0.9195,0.8517,0.8551,0.9097,0.8414,0.8468,0.9106
subsample_2_v2.csv,FTT,10,0.86,0.8659,0.9143,0.852,0.8585,0.9157,0.8527,0.8569,0.9119,0.8441,0.8449,0.9134
subsample_5_v2.csv,FTT,20,0.8673,0.8682,0.9248,0.8623,0.8701,0.9211,0.8676,0.8687,0.9229,0.856,0.849,0.9255
subsample_9_v2.csv,FTT,20,0.8799,0.8813,0.938,0.8819,0.8829,0.9408,0.8806,0.8826,0.9368,0.8679,0.8704,0.9309
subsample_3_v2.csv,FTT,20,0.8636,0.8686,0.9281,0.8597,0.8583,0.9329,0.8643,0.87,0.9352,0.8603,0.861,0.9256
subsample_6_v2.csv,FTT,20,0.864,0.8683,0.9271,0.862,0.8665,0.9233,0.8587,0.8613,0.925,0.8626,0.8644,0.9283
subsample_7_v2.csv,FTT,20,0.8733,0.874,0.9271,0.8666,0.8659,0.9255,0.848,0.8409,0.9249,0.8447,0.842,0.9181
subsample_8_v2.csv,FTT,20,0.8713,0.8734,0.9286,0.8719,0.8706,0.9348,0.8679,0.8719,0.9258,0.8766,0.8811,0.9346
subsample_4_v2.csv,FTT,20,0.8752,0.8762,0.9351,0.8769,0.8787,0.9362,0.8709,0.872,0.9321,0.8543,0.8527,0.9213
subsample_1_v2.csv,FTT,20,0.8736,0.8735,0.9343,0.8699,0.8717,0.9307,0.8733,0.8776,0.9347,0.864,0.868,0.9346
subsample_10_v2.csv,FTT,20,0.8607,0.8591,0.9252,0.853,0.8624,0.9249,0.863,0.8664,0.9175,0.861,0.8629,0.9205
subsample_2_v2.csv,FTT,20,0.8723,0.8757,0.9287,0.8766,0.8808,0.9377,0.8679,0.8721,0.9269,0.8461,0.8577,0.9179
subsample_5_v2.csv,FTT,30,0.867,0.8666,0.9296,0.8733,0.8806,0.9298,0.8772,0.8806,0.9386,0.8842,0.8845,0.9429
subsample_9_v2.csv,FTT,30,0.8782,0.877,0.941,0.8902,0.8901,0.9512,0.8792,0.8817,0.9357,0.8706,0.8703,0.9406
subsample_3_v2.csv,FTT,30,0.8819,0.8826,0.9413,0.8603,0.8699,0.9314,0.8829,0.8836,0.9392,0.8786,0.8798,0.944
