samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc
subsample_7.csv,ft_transformer,10,0.8606,0.8664,0.8981,0.875,0.8762,0.9291,0.875,0.8725,0.9082
subsample_10.csv,ft_transformer,20,0.8654,0.8641,0.9198,0.8702,0.8756,0.9115,0.7788,0.8083,0.9269
subsample_8.csv,ft_transformer,30,0.875,0.8725,0.9171,0.851,0.841,0.9168,0.8702,0.8683,0.9182
subsample_3.csv,ft_transformer,50,0.8558,0.8598,0.9237,0.8654,0.8586,0.8913,0.8654,0.8627,0.9126
subsample_1.csv,ft_transformer,75,0.8269,0.8421,0.921,0.875,0.8829,0.9384,0.8606,0.8513,0.905
subsample_2.csv,ft_transformer,90,0.8654,0.8739,0.9244,0.7163,0.638,0.8967,0.8654,0.8654,0.93
subsample_6.csv,ft_transformer,10,0.8894,0.892,0.9348,0.8702,0.867,0.9235,0.8894,0.893,0.9349
subsample_5.csv,ft_transformer,20,0.8269,0.8333,0.9075,0.8894,0.893,0.9205,0.8413,0.829,0.9118
subsample_4.csv,ft_transformer,30,0.851,0.8473,0.9196,0.8413,0.8325,0.9161,0.8606,0.8571,0.9115
subsample_9.csv,ft_transformer,50,0.8798,0.8768,0.9314,0.8558,0.8454,0.9228,0.8462,0.8462,0.8962
subsample_7.csv,ft_transformer,75,0.8942,0.8991,0.9128,0.8702,0.8732,0.8956,0.8702,0.88,0.9341
subsample_10.csv,ft_transformer,90,0.875,0.8796,0.8934,0.875,0.875,0.9141,0.8654,0.8641,0.8977
subsample_8.csv,ft_transformer,10,0.8413,0.8559,0.8792,0.8558,0.8544,0.913,0.8702,0.88,0.932
subsample_3.csv,ft_transformer,20,0.8798,0.8815,0.9252,0.8462,0.8416,0.9113,0.9087,0.9124,0.9197
subsample_1.csv,ft_transformer,30,0.8702,0.8683,0.9265,0.8846,0.8857,0.9199,0.8894,0.893,0.9253
subsample_2.csv,ft_transformer,50,0.8221,0.8083,0.8976,0.875,0.8839,0.93,0.8846,0.8879,0.9251
subsample_6.csv,ft_transformer,75,0.8798,0.8804,0.9428,0.875,0.8796,0.9192,0.8654,0.8654,0.9002
subsample_5.csv,ft_transformer,90,0.8317,0.8416,0.9157,0.8317,0.8148,0.885,0.8606,0.8599,0.9289
subsample_4.csv,ft_transformer,10,0.8798,0.8826,0.9232,0.8798,0.8848,0.9397,0.8798,0.8815,0.915
subsample_9.csv,ft_transformer,20,0.875,0.8839,0.932,0.851,0.8426,0.914,0.8606,0.8651,0.9301
subsample_7.csv,ft_transformer,30,0.8846,0.8868,0.919,0.8798,0.8879,0.9186,0.875,0.8762,0.9221
subsample_10.csv,ft_transformer,50,0.8846,0.8868,0.9346,0.8846,0.8909,0.9286,0.875,0.8738,0.9269
subsample_8.csv,ft_transformer,75,0.875,0.8818,0.9283,0.875,0.8839,0.9372,0.8702,0.8657,0.9161
subsample_3.csv,ft_transformer,90,0.8798,0.8858,0.8913,0.8846,0.8889,0.9355,0.8846,0.8909,0.9313
subsample_1.csv,ft_transformer,10,0.8558,0.8485,0.8969,0.8702,0.88,0.9282,0.8798,0.8815,0.9359
subsample_2.csv,ft_transformer,20,0.8702,0.8657,0.9217,0.8894,0.89,0.9334,0.8846,0.8919,0.9239
subsample_6.csv,ft_transformer,30,0.8558,0.8515,0.9322,0.8702,0.8708,0.9306,0.8798,0.8879,0.9252
subsample_5.csv,ft_transformer,50,0.875,0.87,0.9221,0.8798,0.8858,0.9217,0.8462,0.8505,0.9123
subsample_4.csv,ft_transformer,75,0.8413,0.8571,0.9135,0.8654,0.8667,0.9197,0.875,0.8807,0.9147
subsample_9.csv,ft_transformer,90,0.8702,0.8789,0.909,0.8606,0.8571,0.931,0.8654,0.8667,0.9282
subsample_7.csv,ft_transformer,10,0.8846,0.8879,0.9243,0.8846,0.8919,0.9257,0.8894,0.893,0.893
subsample_10.csv,ft_transformer,20,0.8702,0.8708,0.9277,0.8606,0.8734,0.931,0.8702,0.8789,0.8991
subsample_8.csv,ft_transformer,30,0.8558,0.8515,0.9108,0.875,0.8839,0.9154,0.8846,0.8919,0.9339
subsample_3.csv,ft_transformer,50,0.8798,0.8837,0.9158,0.8606,0.8722,0.9238,0.8654,0.8679,0.9305
subsample_1.csv,ft_transformer,75,0.8702,0.8683,0.9134,0.8221,0.8083,0.925,0.875,0.8818,0.923
subsample_2.csv,ft_transformer,90,0.8413,0.8325,0.9176,0.8462,0.8584,0.917,0.8798,0.8815,0.9205
subsample_6.csv,ft_transformer,10,0.8846,0.8868,0.9244,0.8462,0.8367,0.91,0.8702,0.8683,0.926
subsample_5.csv,ft_transformer,20,0.8798,0.8848,0.9221,0.8654,0.8641,0.9277,0.8654,0.8614,0.9327
subsample_4.csv,ft_transformer,30,0.8606,0.8651,0.9162,0.8846,0.8879,0.9223,0.875,0.8818,0.9259
subsample_9.csv,ft_transformer,50,0.8654,0.8727,0.9153,0.851,0.8458,0.9282,0.8606,0.8638,0.9242
subsample_7.csv,ft_transformer,75,0.8846,0.8857,0.9241,0.875,0.8829,0.9011,0.875,0.885,0.9331
subsample_10.csv,ft_transformer,90,0.8654,0.8739,0.9273,0.8846,0.8835,0.9284,0.875,0.8818,0.9076
subsample_8.csv,ft_transformer,10,0.8654,0.8627,0.8817,0.8654,0.8614,0.9232,0.8846,0.8899,0.9297
