samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc
subsample_4.csv,ft_transformer,20,0.8199,0.8228,0.8476,0.8521,0.8606,0.8732,0.8457,0.8471,0.9003
subsample_2.csv,ft_transformer,30,0.8264,0.82,0.8824,0.836,0.8496,0.8889,0.8264,0.8323,0.8694
subsample_1.csv,ft_transformer,50,0.8489,0.8597,0.8904,0.8521,0.8598,0.886,0.8264,0.8235,0.8803
subsample_3.csv,ft_transformer,75,0.8232,0.8378,0.8933,0.8328,0.8415,0.8453,0.8199,0.8133,0.8536
subsample_7.csv,ft_transformer,90,0.8424,0.8483,0.8959,0.865,0.8704,0.9026,0.8199,0.8146,0.8703
subsample_9.csv,ft_transformer,10,0.8296,0.8339,0.8748,0.8232,0.8397,0.8871,0.8328,0.8405,0.8894
subsample_6.csv,ft_transformer,20,0.8424,0.8529,0.904,0.8457,0.8481,0.8915,0.8232,0.8368,0.8611
subsample_8.csv,ft_transformer,30,0.8457,0.8563,0.8792,0.8392,0.8447,0.8923,0.8328,0.8415,0.8789
subsample_5.csv,ft_transformer,50,0.8457,0.8528,0.8983,0.7685,0.8033,0.8864,0.836,0.845,0.8918
subsample_10.csv,ft_transformer,75,0.8424,0.8424,0.8884,0.8392,0.8466,0.875,0.8521,0.858,0.8851
subsample_4.csv,ft_transformer,90,0.8521,0.8647,0.9023,0.8264,0.8344,0.8822,0.8553,0.8598,0.8825
