samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc_score
subsample_7.csv,ft_transformer,75,0.8766,0.8803,0.9386,0.8852,0.8888,0.9424,0.8759,0.8736,0.9348,0.8789,0.8785,0.9386
subsample_10.csv,ft_transformer,90,0.8689,0.8698,0.9301,0.8729,0.8775,0.9358,0.8716,0.8757,0.9301,0.8875,0.8898,0.9397
subsample_8.csv,ft_transformer,10,0.8633,0.8622,0.9284,0.8706,0.8715,0.9306,0.8663,0.8681,0.9146,0.8593,0.8707,0.9312
subsample_3.csv,ft_transformer,20,0.8713,0.8698,0.9368,0.8776,0.8819,0.943,0.8679,0.8682,0.9313,0.8746,0.8758,0.9363
subsample_1.csv,ft_transformer,30,0.8832,0.8865,0.9436,0.8928,0.8935,0.951,0.8839,0.8821,0.9473,0.8872,0.8912,0.945
subsample_2.csv,ft_transformer,50,0.8752,0.8786,0.9308,0.8736,0.8782,0.9279,0.8842,0.8874,0.9379,0.8812,0.8778,0.9411
subsample_6.csv,ft_transformer,75,0.863,0.869,0.9209,0.867,0.8736,0.9285,0.8743,0.8791,0.9346,0.8898,0.8911,0.9449
subsample_5.csv,ft_transformer,90,0.862,0.8718,0.9275,0.8736,0.8718,0.9362,0.8613,0.8692,0.9162,0.8872,0.8884,0.9417
subsample_4.csv,ft_transformer,10,0.8839,0.8878,0.9349,0.8739,0.8786,0.9339,0.8859,0.8873,0.9379,0.8756,0.8797,0.9329
subsample_9.csv,ft_transformer,20,0.8766,0.8791,0.9404,0.8756,0.8757,0.9367,0.8736,0.8711,0.9359,0.8985,0.9026,0.9513
subsample_7.csv,ft_transformer,30,0.8736,0.8759,0.9339,0.8779,0.883,0.94,0.8743,0.8779,0.9319,0.8809,0.8788,0.9422
subsample_10.csv,ft_transformer,50,0.8703,0.8732,0.9294,0.8663,0.868,0.9255,0.864,0.8644,0.927,0.8892,0.889,0.9448
subsample_8.csv,ft_transformer,75,0.8719,0.873,0.931,0.8759,0.8822,0.9385,0.8756,0.88,0.9363,0.8822,0.8821,0.9367
subsample_3.csv,ft_transformer,90,0.8746,0.8785,0.9369,0.8839,0.8863,0.9409,0.8633,0.8604,0.9326,0.8799,0.8846,0.9413
subsample_1.csv,ft_transformer,10,0.8839,0.8826,0.9479,0.8693,0.8648,0.9417,0.8663,0.8612,0.9357,0.8879,0.8878,0.9482
subsample_2.csv,ft_transformer,20,0.8789,0.8824,0.9335,0.8689,0.8673,0.9277,0.8752,0.8789,0.9296,0.8922,0.8948,0.9405
subsample_6.csv,ft_transformer,30,0.8607,0.8687,0.9297,0.8696,0.8757,0.9316,0.8593,0.8665,0.9209,0.8756,0.8723,0.9407
subsample_5.csv,ft_transformer,50,0.862,0.8662,0.9243,0.859,0.8582,0.9277,0.865,0.8616,0.9348,0.8842,0.8859,0.9432
subsample_4.csv,ft_transformer,75,0.8882,0.8901,0.9408,0.8676,0.8737,0.9338,0.8882,0.8883,0.9458,0.8806,0.8866,0.9436
subsample_9.csv,ft_transformer,90,0.8839,0.8853,0.9429,0.8845,0.8866,0.9391,0.8782,0.8832,0.9444,0.8733,0.8786,0.932
