samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc,mi_params,mrmr_params,mi_mrmr_params,pca_params
subsample_8.csv,lr,10,0.817307692,0.81,0.817307692,0.826923077,0.826923077,0.826923077,0.8125,0.809756098,0.8125,0.798076923,0.796116505,0.798076923,"{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
subsample_9.csv,lr,10,0.822115385,0.81773399,0.822115385,0.826923077,0.826923077,0.826923077,0.8125,0.809756098,0.8125,0.798076923,0.796116505,0.798076923,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
subsample_7.csv,lr,10,0.8125,0.805970149,0.8125,0.826923077,0.826923077,0.826923077,0.8125,0.809756098,0.8125,0.798076923,0.796116505,0.798076923,"{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
subsample_6.csv,lr,10,0.831730769,0.827586207,0.831730769,0.826923077,0.826923077,0.826923077,0.826923077,0.821782178,0.826923077,0.798076923,0.796116505,0.798076923,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
subsample_10.csv,lr,10,0.8125,0.805970149,0.8125,0.826923077,0.826923077,0.826923077,0.8125,0.809756098,0.8125,0.798076923,0.796116505,0.798076923,"{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
subsample_4.csv,lr,10,0.831730769,0.827586207,0.831730769,0.826923077,0.826923077,0.826923077,0.826923077,0.821782178,0.826923077,0.798076923,0.796116505,0.798076923,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
subsample_5.csv,lr,10,0.831730769,0.827586207,0.831730769,0.826923077,0.826923077,0.826923077,0.826923077,0.821782178,0.826923077,0.798076923,0.796116505,0.798076923,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
subsample_1.csv,lr,10,0.836538462,0.831683168,0.836538462,0.826923077,0.826923077,0.826923077,0.826923077,0.821782178,0.826923077,0.798076923,0.796116505,0.798076923,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
subsample_2.csv,lr,10,0.817307692,0.81,0.817307692,0.826923077,0.826923077,0.826923077,0.8125,0.809756098,0.8125,0.798076923,0.796116505,0.798076923,"{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
subsample_3.csv,lr,10,0.817307692,0.81,0.817307692,0.826923077,0.826923077,0.826923077,0.826923077,0.821782178,0.826923077,0.798076923,0.796116505,0.798076923,"{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
