samples,models,percentiles,accuracy,f1_score,auc
2,svc,30,0.8269230769230769,0.8285714285714286,0.826923076923077
3,svc,30,0.8028846153846154,0.807511737089202,0.8028846153846154
4,svc,30,0.8173076923076923,0.8173076923076923,0.8173076923076923
5,svc,30,0.8221153846153846,0.821256038647343,0.8221153846153846
6,svc,30,0.8173076923076923,0.8173076923076923,0.8173076923076923
7,svc,30,0.8413461538461539,0.8421052631578948,0.841346153846154
8,svc,30,0.8317307692307693,0.8309178743961353,0.8317307692307693
9,svc,30,0.8173076923076923,0.8207547169811321,0.8173076923076925
10,svc,30,0.8221153846153846,0.8246445497630331,0.8221153846153847
1,xgbc,30,0.8125,0.8202764976958524,0.8125
2,xgbc,30,0.8509615384615384,0.8544600938967136,0.8509615384615384
3,xgbc,30,0.8365384615384616,0.8300000000000001,0.8365384615384616
4,xgbc,30,0.8846153846153846,0.8867924528301887,0.8846153846153847
5,xgbc,30,0.8557692307692307,0.8571428571428571,0.8557692307692308
6,xgbc,30,0.8798076923076923,0.878048780487805,0.8798076923076923
7,xgbc,30,0.8653846153846154,0.8585858585858587,0.8653846153846153
8,xgbc,30,0.8461538461538461,0.8490566037735849,0.8461538461538461
9,xgbc,30,0.8701923076923077,0.8708133971291866,0.8701923076923077
10,xgbc,30,0.8894230769230769,0.8909952606635071,0.8894230769230769
1,lr,50,0.7740384615384616,0.7813953488372093,0.7740384615384616
2,lr,50,0.8028846153846154,0.8,0.8028846153846153
3,lr,50,0.8221153846153846,0.8195121951219512,0.8221153846153847
4,lr,50,0.8269230769230769,0.8235294117647058,0.8269230769230769
5,lr,50,0.8173076923076923,0.8137254901960785,0.8173076923076924
6,lr,50,0.8317307692307693,0.8275862068965517,0.8317307692307694
7,lr,50,0.8125,0.8097560975609756,0.8125
8,lr,50,0.8365384615384616,0.8300000000000001,0.8365384615384616
9,lr,50,0.8317307692307693,0.8275862068965517,0.8317307692307694
10,lr,50,0.8125,0.8097560975609756,0.8125
1,rfc,50,0.8076923076923077,0.8198198198198198,0.8076923076923077
2,rfc,50,0.8413461538461539,0.8479262672811061,0.841346153846154
3,rfc,50,0.8653846153846154,0.8640776699029126,0.8653846153846154
4,rfc,50,0.9134615384615384,0.9142857142857143,0.9134615384615385
5,rfc,50,0.8605769230769231,0.8687782805429864,0.8605769230769231
6,rfc,50,0.8846153846153846,0.888888888888889,0.8846153846153847
7,rfc,50,0.8605769230769231,0.8599033816425121,0.8605769230769231
8,rfc,50,0.8605769230769231,0.8711111111111111,0.8605769230769231
9,rfc,50,0.8894230769230769,0.8940092165898617,0.8894230769230769
10,rfc,50,0.8942307692307693,0.8990825688073394,0.8942307692307692
1,svc,50,0.7788461538461539,0.7909090909090908,0.7788461538461539
2,svc,50,0.8317307692307693,0.8341232227488151,0.8317307692307693
3,svc,50,0.8028846153846154,0.807511737089202,0.8028846153846154
4,svc,50,0.8173076923076923,0.8173076923076923,0.8173076923076923
5,svc,50,0.8221153846153846,0.821256038647343,0.8221153846153846
6,svc,50,0.8173076923076923,0.8173076923076923,0.8173076923076923
7,svc,50,0.8269230769230769,0.8317757009345793,0.826923076923077
8,svc,50,0.8317307692307693,0.8309178743961353,0.8317307692307693
9,svc,50,0.8173076923076923,0.8207547169811321,0.8173076923076925
10,svc,50,0.8125,0.8169014084507041,0.8125
1,xgbc,50,0.8269230769230769,0.834862385321101,0.826923076923077
2,xgbc,50,0.8317307692307693,0.835680751173709,0.8317307692307693
3,xgbc,50,0.8365384615384616,0.8282828282828283,0.8365384615384615
4,xgbc,50,0.8701923076923077,0.8682926829268293,0.8701923076923077
5,xgbc,50,0.8557692307692307,0.8571428571428571,0.8557692307692308
6,xgbc,50,0.875,0.8761904761904762,0.875
7,xgbc,50,0.8461538461538461,0.8431372549019608,0.8461538461538463
8,xgbc,50,0.8413461538461539,0.8450704225352115,0.8413461538461539
9,xgbc,50,0.8605769230769231,0.8612440191387559,0.8605769230769231
10,xgbc,50,0.8894230769230769,0.8888888888888888,0.889423076923077
