samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc,mi_params,mrmr_params,mi_mrmr_params,pca_params
6,rfc,10,0.8846153846153846,0.8878504672897196,0.8846153846153847,0.8798076923076923,0.8803827751196172,0.8798076923076923,0.8894230769230769,0.8909952606635071,0.8894230769230769,0.7980769230769231,0.8037383177570092,0.7980769230769229,"{'max_depth': 3, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 100}"
7,rfc,10,0.8798076923076923,0.8826291079812206,0.8798076923076923,0.8605769230769231,0.8571428571428572,0.8605769230769231,0.8990384615384616,0.9014084507042254,0.8990384615384616,0.7932692307692307,0.7922705314009661,0.7932692307692307,"{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 10}","{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 10}"
8,rfc,10,0.8846153846153846,0.8867924528301887,0.8846153846153847,0.8846153846153846,0.8857142857142858,0.8846153846153846,0.8846153846153846,0.8867924528301887,0.8846153846153847,0.8076923076923077,0.8130841121495327,0.8076923076923077,"{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 50}"
9,rfc,10,0.8846153846153846,0.8857142857142858,0.8846153846153846,0.8846153846153846,0.8867924528301887,0.8846153846153847,0.8605769230769231,0.8599033816425121,0.8605769230769231,0.7884615384615384,0.7962962962962962,0.7884615384615384,"{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 50}"
10,rfc,10,0.8894230769230769,0.892018779342723,0.8894230769230769,0.8894230769230769,0.8909952606635071,0.8894230769230769,0.8846153846153846,0.8857142857142858,0.8846153846153846,0.8076923076923077,0.8148148148148148,0.8076923076923077,"{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 10, 'n_estimators': 100}","{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 50}"
1,svc,10,0.8413461538461539,0.8358208955223881,0.8413461538461539,0.8509615384615384,0.8516746411483254,0.8509615384615385,0.8413461538461539,0.8450704225352115,0.8413461538461539,0.7932692307692307,0.8018433179723502,0.7932692307692308,"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
2,svc,10,0.8317307692307693,0.835680751173709,0.8317307692307693,0.8509615384615384,0.8516746411483254,0.8509615384615385,0.8413461538461539,0.8450704225352115,0.8413461538461539,0.7932692307692307,0.8018433179723502,0.7932692307692308,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
3,svc,10,0.8173076923076923,0.8137254901960785,0.8173076923076924,0.8509615384615384,0.8516746411483254,0.8509615384615385,0.8413461538461539,0.8450704225352115,0.8413461538461539,0.7932692307692307,0.8018433179723502,0.7932692307692308,"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
4,svc,10,0.8461538461538461,0.8490566037735849,0.8461538461538461,0.8509615384615384,0.8516746411483254,0.8509615384615385,0.8509615384615384,0.845771144278607,0.8509615384615384,0.7932692307692307,0.8018433179723502,0.7932692307692308,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
5,svc,10,0.8173076923076923,0.8137254901960785,0.8173076923076924,0.8509615384615384,0.8516746411483254,0.8509615384615385,0.8413461538461539,0.8450704225352115,0.8413461538461539,0.7932692307692307,0.8018433179723502,0.7932692307692308,"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
