samples,models,percentiles,accuracy,f1_score,auc
3,xgbc,20,0.875,0.8737864077669903,0.875
4,xgbc,20,0.8894230769230769,0.8878048780487806,0.889423076923077
5,xgbc,20,0.8605769230769231,0.863849765258216,0.860576923076923
6,xgbc,20,0.8653846153846154,0.8627450980392156,0.8653846153846154
7,xgbc,20,0.8557692307692307,0.8529411764705882,0.8557692307692308
8,xgbc,20,0.8509615384615384,0.8558139534883721,0.8509615384615384
9,xgbc,20,0.8173076923076923,0.8173076923076923,0.8173076923076923
10,xgbc,20,0.8653846153846154,0.8640776699029126,0.8653846153846154
1,lr,30,0.7692307692307693,0.7777777777777779,0.7692307692307693
2,lr,30,0.8125,0.8115942028985508,0.8125
3,lr,30,0.8221153846153846,0.8177339901477833,0.8221153846153846
4,lr,30,0.8221153846153846,0.8195121951219512,0.8221153846153847
5,lr,30,0.8317307692307693,0.8275862068965517,0.8317307692307694
6,lr,30,0.8317307692307693,0.8275862068965517,0.8317307692307694
7,lr,30,0.8221153846153846,0.8177339901477833,0.8221153846153846
8,lr,30,0.8317307692307693,0.8241206030150754,0.8317307692307692
9,lr,30,0.8317307692307693,0.8258706467661692,0.8317307692307693
10,lr,30,0.8173076923076923,0.8155339805825242,0.8173076923076923
1,rfc,30,0.8125,0.8251121076233184,0.8125
2,rfc,30,0.8365384615384616,0.8425925925925926,0.8365384615384616
3,rfc,30,0.8605769230769231,0.8625592417061612,0.860576923076923
4,rfc,30,0.9086538461538461,0.9099526066350712,0.9086538461538461
5,rfc,30,0.8653846153846154,0.8727272727272727,0.8653846153846154
6,rfc,30,0.8894230769230769,0.8899521531100478,0.8894230769230769
7,rfc,30,0.8701923076923077,0.8669950738916256,0.8701923076923078
8,rfc,30,0.8605769230769231,0.8663594470046083,0.860576923076923
9,rfc,30,0.8605769230769231,0.863849765258216,0.860576923076923
10,rfc,30,0.8846153846153846,0.888888888888889,0.8846153846153847
1,svc,30,0.7740384615384616,0.7873303167420813,0.7740384615384617
2,svc,30,0.8221153846153846,0.8246445497630331,0.8221153846153847
3,svc,30,0.8028846153846154,0.807511737089202,0.8028846153846154
4,svc,30,0.8173076923076923,0.819047619047619,0.8173076923076923
5,svc,30,0.8221153846153846,0.821256038647343,0.8221153846153846
6,svc,30,0.8173076923076923,0.8173076923076923,0.8173076923076923
7,svc,30,0.8413461538461539,0.8436018957345972,0.8413461538461537
8,svc,30,0.8365384615384616,0.8365384615384616,0.8365384615384617
9,svc,30,0.8173076923076923,0.8207547169811321,0.8173076923076925
10,svc,30,0.8221153846153846,0.8246445497630331,0.8221153846153847
1,xgbc,30,0.8076923076923077,0.8181818181818181,0.8076923076923077
2,xgbc,30,0.8365384615384616,0.839622641509434,0.8365384615384616
3,xgbc,30,0.8653846153846154,0.8627450980392156,0.8653846153846154
4,xgbc,30,0.875,0.8725490196078431,0.8750000000000001
5,xgbc,30,0.8798076923076923,0.8837209302325582,0.8798076923076923
6,xgbc,30,0.8846153846153846,0.883495145631068,0.8846153846153846
7,xgbc,30,0.8846153846153846,0.8799999999999999,0.8846153846153848
8,xgbc,30,0.8413461538461539,0.8450704225352115,0.8413461538461539
9,xgbc,30,0.8701923076923077,0.8708133971291866,0.8701923076923077
10,xgbc,30,0.8557692307692307,0.854368932038835,0.8557692307692308
1,lr,50,0.7740384615384616,0.7813953488372093,0.7740384615384616
2,lr,50,0.8028846153846154,0.8,0.8028846153846153
3,lr,50,0.8221153846153846,0.8177339901477833,0.8221153846153846
4,lr,50,0.8269230769230769,0.8235294117647058,0.8269230769230769
5,lr,50,0.8269230769230769,0.821782178217822,0.826923076923077
6,lr,50,0.8317307692307693,0.8275862068965517,0.8317307692307694
7,lr,50,0.8125,0.8097560975609756,0.8125
8,lr,50,0.8365384615384616,0.8300000000000001,0.8365384615384616
9,lr,50,0.8317307692307693,0.8275862068965517,0.8317307692307694
10,lr,50,0.8173076923076923,0.8155339805825242,0.8173076923076923
1,rfc,50,0.8076923076923077,0.8181818181818181,0.8076923076923077
2,rfc,50,0.8461538461538461,0.8518518518518519,0.8461538461538461
3,rfc,50,0.8557692307692307,0.8571428571428571,0.8557692307692308
4,rfc,50,0.9086538461538461,0.9099526066350712,0.9086538461538461
5,rfc,50,0.8653846153846154,0.8738738738738739,0.8653846153846154
6,rfc,50,0.8894230769230769,0.8930232558139535,0.889423076923077
7,rfc,50,0.8653846153846154,0.8679245283018868,0.8653846153846154
8,rfc,50,0.8605769230769231,0.8687782805429864,0.8605769230769231
9,rfc,50,0.8605769230769231,0.863849765258216,0.860576923076923
10,rfc,50,0.875,0.8818181818181818,0.875
1,svc,50,0.7740384615384616,0.7873303167420813,0.7740384615384617
2,svc,50,0.8317307692307693,0.8341232227488151,0.8317307692307693
3,svc,50,0.8028846153846154,0.807511737089202,0.8028846153846154
4,svc,50,0.8173076923076923,0.8173076923076923,0.8173076923076923
5,svc,50,0.8221153846153846,0.821256038647343,0.8221153846153846
6,svc,50,0.8221153846153846,0.8229665071770335,0.8221153846153846
7,svc,50,0.8269230769230769,0.8317757009345793,0.826923076923077
8,svc,50,0.8317307692307693,0.8309178743961353,0.8317307692307693
9,svc,50,0.8173076923076923,0.8207547169811321,0.8173076923076925
10,svc,50,0.8125,0.8169014084507041,0.8125
1,xgbc,50,0.8125,0.8219178082191783,0.8125
2,xgbc,50,0.8461538461538461,0.8504672897196263,0.8461538461538461
3,xgbc,50,0.8509615384615384,0.8442211055276383,0.8509615384615385
4,xgbc,50,0.8894230769230769,0.8899521531100478,0.8894230769230769
5,xgbc,50,0.8701923076923077,0.8744186046511627,0.8701923076923077
6,xgbc,50,0.875,0.8737864077669903,0.875
7,xgbc,50,0.8509615384615384,0.848780487804878,0.8509615384615385
8,xgbc,50,0.8509615384615384,0.8571428571428571,0.8509615384615384
9,xgbc,50,0.8653846153846154,0.8679245283018868,0.8653846153846154
10,xgbc,50,0.8942307692307693,0.8962264150943395,0.8942307692307692
