samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc
subsample_7.csv,ft_transformer,10,0.8894,0.893,0.9129,0.8702,0.867,0.9291,0.8462,0.8462,0.9153
subsample_10.csv,ft_transformer,20,0.8798,0.8826,0.8948,0.8846,0.8899,0.9096,0.875,0.8762,0.9243
subsample_8.csv,ft_transformer,30,0.8654,0.8679,0.9177,0.875,0.8774,0.9272,0.875,0.875,0.9254
subsample_3.csv,ft_transformer,50,0.8702,0.8643,0.9259,0.8558,0.8558,0.9149,0.8029,0.7735,0.9119
subsample_1.csv,ft_transformer,75,0.8702,0.872,0.9246,0.8606,0.8599,0.9032,0.8606,0.8571,0.9172
subsample_2.csv,ft_transformer,90,0.8846,0.8879,0.9214,0.8702,0.8778,0.9216,0.851,0.8531,0.9172
subsample_6.csv,ft_transformer,10,0.8702,0.8789,0.9223,0.8654,0.8667,0.9161,0.875,0.8829,0.9196
subsample_5.csv,ft_transformer,20,0.8702,0.8708,0.9316,0.8606,0.8585,0.9332,0.8702,0.867,0.9208
subsample_4.csv,ft_transformer,30,0.8269,0.8105,0.9097,0.8654,0.8627,0.9175,0.851,0.8458,0.9146
subsample_9.csv,ft_transformer,50,0.8606,0.87,0.9145,0.8654,0.8614,0.8939,0.8942,0.8962,0.9384
subsample_7.csv,ft_transformer,75,0.8846,0.8899,0.9168,0.8462,0.8416,0.9123,0.8606,0.8585,0.9271
subsample_10.csv,ft_transformer,90,0.8317,0.8205,0.9145,0.875,0.8738,0.9307,0.8702,0.8683,0.9327
subsample_8.csv,ft_transformer,10,0.8846,0.8868,0.9189,0.8798,0.8826,0.9066,0.8365,0.83,0.9126
subsample_3.csv,ft_transformer,20,0.8606,0.8543,0.9426,0.8654,0.8704,0.9265,0.8606,0.8585,0.9191
subsample_1.csv,ft_transformer,30,0.8846,0.8909,0.9415,0.8269,0.8043,0.9306,0.9087,0.9116,0.938
subsample_2.csv,ft_transformer,50,0.8798,0.8869,0.9257,0.8702,0.8778,0.926,0.8846,0.8889,0.9263
subsample_6.csv,ft_transformer,75,0.8654,0.8679,0.9314,0.8894,0.893,0.9196,0.8702,0.8683,0.9273
subsample_5.csv,ft_transformer,90,0.8702,0.8708,0.927,0.8894,0.891,0.9351,0.8317,0.8148,0.852
