samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc
subsample_7.csv,ft_transformer,30,0.851,0.8458,0.9306,0.8125,0.7892,0.912,0.8462,0.8447,0.9148
subsample_10.csv,ft_transformer,50,0.8894,0.894,0.9297,0.8654,0.8739,0.921,0.8894,0.893,0.9267
subsample_8.csv,ft_transformer,75,0.875,0.8725,0.9231,0.8798,0.8815,0.9255,0.8894,0.89,0.9324
subsample_3.csv,ft_transformer,90,0.8654,0.8641,0.9169,0.8654,0.8679,0.9268,0.875,0.8713,0.8813
subsample_1.csv,ft_transformer,10,0.8317,0.8241,0.9148,0.8077,0.7895,0.9092,0.8702,0.8683,0.9273
subsample_2.csv,ft_transformer,20,0.8654,0.8641,0.9208,0.8846,0.8846,0.921,0.8702,0.8831,0.9347
subsample_6.csv,ft_transformer,30,0.875,0.8829,0.913,0.8846,0.8889,0.9226,0.8846,0.8889,0.9251
subsample_5.csv,ft_transformer,50,0.875,0.8807,0.9304,0.8558,0.8684,0.9121,0.8221,0.8103,0.9184
subsample_4.csv,ft_transformer,75,0.8558,0.8571,0.9095,0.8798,0.8858,0.9103,0.8702,0.8683,0.8788
subsample_9.csv,ft_transformer,90,0.8702,0.8683,0.9158,0.8702,0.8696,0.9312,0.8702,0.8708,0.9177
