samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc
subsample_2.csv,ft_transformer,10,0.8654,0.86,0.9011,0.8606,0.8651,0.866,0.875,0.8738,0.9134
subsample_1.csv,ft_transformer,20,0.8846,0.8879,0.9106,0.8846,0.8889,0.9028,0.8413,0.8325,0.8953
subsample_3.csv,ft_transformer,30,0.8702,0.8683,0.9077,0.8558,0.85,0.905,0.8413,0.8358,0.8557
subsample_7.csv,ft_transformer,50,0.8702,0.8708,0.9288,0.8894,0.893,0.8933,0.875,0.875,0.9161
subsample_9.csv,ft_transformer,75,0.774,0.7751,0.8889,0.8702,0.8708,0.8743,0.8029,0.7919,0.8624
subsample_6.csv,ft_transformer,90,0.8606,0.8612,0.9136,0.8702,0.872,0.8951,0.8702,0.8683,0.9116
subsample_8.csv,ft_transformer,10,0.8702,0.8696,0.8937,0.8654,0.8641,0.8938,0.875,0.8774,0.9112
subsample_5.csv,ft_transformer,20,0.8846,0.8879,0.9045,0.8654,0.8667,0.9149,0.8365,0.8396,0.8834
subsample_10.csv,ft_transformer,30,0.8317,0.8168,0.8898,0.8654,0.8727,0.9001,0.8462,0.8505,0.9059
subsample_4.csv,ft_transformer,50,0.8654,0.8654,0.922,0.8798,0.8826,0.8942,0.875,0.8774,0.909
subsample_2.csv,ft_transformer,75,0.8846,0.8868,0.9095,0.8606,0.8585,0.9033,0.8606,0.8664,0.9212
subsample_1.csv,ft_transformer,90,0.8558,0.8558,0.907,0.851,0.8488,0.9224,0.875,0.8738,0.9084
subsample_3.csv,ft_transformer,10,0.8654,0.8654,0.9182,0.8894,0.893,0.8762,0.8702,0.8756,0.9309
subsample_7.csv,ft_transformer,20,0.8894,0.893,0.9031,0.851,0.8517,0.9095,0.8798,0.8826,0.897
subsample_9.csv,ft_transformer,30,0.8558,0.8611,0.8983,0.875,0.8818,0.9161,0.8702,0.8708,0.9215
subsample_6.csv,ft_transformer,50,0.875,0.8807,0.8816,0.851,0.8571,0.878,0.8894,0.893,0.8891
subsample_8.csv,ft_transformer,75,0.8798,0.8826,0.877,0.8894,0.893,0.9275,0.8654,0.8654,0.9062
subsample_5.csv,ft_transformer,90,0.875,0.8807,0.9391,0.8798,0.8848,0.9098,0.8846,0.8879,0.9058
subsample_10.csv,ft_transformer,10,0.851,0.8545,0.9181,0.8606,0.8626,0.9249,0.8798,0.8858,0.9295
subsample_4.csv,ft_transformer,20,0.875,0.8829,0.9295,0.8558,0.8558,0.9295,0.8894,0.893,0.9055
subsample_2.csv,ft_transformer,30,0.8317,0.8293,0.8888,0.8413,0.8358,0.9055,0.8558,0.8558,0.9166
subsample_1.csv,ft_transformer,50,0.8606,0.8612,0.9102,0.8462,0.84,0.9,0.8798,0.8858,0.9173
subsample_3.csv,ft_transformer,75,0.8365,0.8283,0.8751,0.8654,0.8627,0.9196,0.8846,0.8909,0.9094
subsample_7.csv,ft_transformer,90,0.8269,0.8318,0.8928,0.8798,0.8731,0.9283,0.8798,0.8826,0.901
subsample_9.csv,ft_transformer,10,0.8317,0.8458,0.8845,0.8702,0.8708,0.8903,0.8702,0.8708,0.9137
subsample_6.csv,ft_transformer,20,0.8462,0.8559,0.9007,0.8558,0.8611,0.8856,0.8558,0.8571,0.9089
subsample_8.csv,ft_transformer,30,0.8558,0.8571,0.8805,0.8606,0.8664,0.918,0.875,0.8807,0.936
